source,target,method,value_mean,value_sd,value_median,metric
cleveland,hungary,entropy_sfda,0.9969127961977009,0.0006287427792030049,0.9969328046691595,patient_cosine_similarity_mean
cleveland,hungary,pseudo_label_sfda,0.9988308816436644,0.0002223945368710915,0.9987714804766175,patient_cosine_similarity_mean
cleveland,hungary,reliability_gated_sfda,0.9999777387266937,6.047380114649507e-06,0.9999799297432677,patient_cosine_similarity_mean
cleveland,switzerland,conservative_candidate,0.9999841144614248,5.172878999511618e-06,0.9999855743565573,patient_cosine_similarity_mean
cleveland,switzerland,entropy_sfda,0.9991841601206074,0.0003850463508475904,0.999288405789517,patient_cosine_similarity_mean
cleveland,switzerland,pseudo_label_sfda,0.9997062698497224,0.00012166524474145061,0.9997062182453729,patient_cosine_similarity_mean
cleveland,switzerland,reliability_gated_sfda,0.9999439163997333,1.70928252427656e-05,0.9999477335901885,patient_cosine_similarity_mean
cleveland,va_long_beach,conservative_candidate,0.9999831754744068,6.099643161812142e-06,0.9999834971573611,patient_cosine_similarity_mean
cleveland,va_long_beach,entropy_sfda,0.9986784838302614,0.0005532159693045056,0.9988338284065585,patient_cosine_similarity_mean
cleveland,va_long_beach,pseudo_label_sfda,0.9993313328283581,0.00028487974113209795,0.9992607666956944,patient_cosine_similarity_mean
cleveland,va_long_beach,reliability_gated_sfda,0.999981857048283,6.047149283269057e-06,0.999981378347838,patient_cosine_similarity_mean
hungary,cleveland,conservative_candidate,0.9999790504631407,7.963917783549546e-06,0.9999805579517859,patient_cosine_similarity_mean
hungary,cleveland,entropy_sfda,0.9963822396998042,0.0010330119635135178,0.9966588546804265,patient_cosine_similarity_mean
hungary,cleveland,pseudo_label_sfda,0.9984877749602411,0.00041027722778520304,0.998508456590438,patient_cosine_similarity_mean
hungary,cleveland,reliability_gated_sfda,0.9999429570729891,2.0126640310370342e-05,0.9999413470206324,patient_cosine_similarity_mean
