condition,method_scope,metric,n_condition_true,n_condition_false,mean_condition_true,mean_condition_false,median_condition_true,median_condition_false,mean_difference_true_minus_false
brier_worsened,ALL,mean_absolute_probability_shift,253,227,0.0274934468872133,0.010075750369753266,0.0232236894965171,0.0023179277777671,0.017417696517460036
brier_worsened,pseudo_label_sfda,global_importance_spearman,73,47,0.9823874755381605,0.9929078014184397,1.0,1.0,-0.01052032588027918
brier_worsened,pseudo_label_sfda,global_top3_overlap_fraction,73,47,0.9543378995433791,1.0,1.0,1.0,-0.04566210045662089
brier_worsened,pseudo_label_sfda,global_importance_relative_l1_drift,73,47,0.16724080476944386,0.061562802092762735,0.2133180337850192,0.0516602113063807,0.10567800267668112
brier_worsened,pseudo_label_sfda,patient_l1_drift_mean,73,47,0.34933966742574535,0.18616962148970936,0.3063148011983646,0.138734034337605,0.16317004593603598
brier_worsened,pseudo_label_sfda,patient_l2_drift_mean,73,47,0.167129216388649,0.08617627886565198,0.1566871961319081,0.065441838667821,0.08095293752299702
brier_worsened,pseudo_label_sfda,patient_cosine_similarity_mean,73,47,0.9975243189879579,0.9996411554800898,0.9986325587140624,0.9997248469959712,-0.0021168364921319016
brier_worsened,pseudo_label_sfda,patient_top3_overlap_mean,73,47,0.9628122824896957,0.9893926915170149,0.966996699669967,0.991869918699187,-0.026580409027319174
brier_worsened,pseudo_label_sfda,mean_absolute_probability_shift,73,47,0.03197903465812816,0.015476461937637742,0.0362796101307269,0.0158921112798578,0.016502572720490417
brier_worsened,entropy_sfda,global_importance_spearman,84,36,0.9631519274376418,0.9814814814814815,0.9761904761904764,1.0,-0.018329554043839735
brier_worsened,entropy_sfda,global_top3_overlap_fraction,84,36,0.9206349206349206,0.9537037037037036,1.0,1.0,-0.033068783068783025
brier_worsened,entropy_sfda,global_importance_relative_l1_drift,84,36,0.18996988844426732,0.11188987722429254,0.1813767109549391,0.08805258095912516,0.07808001121997478
brier_worsened,entropy_sfda,patient_l1_drift_mean,84,36,0.3701838844345377,0.3329619388080826,0.30046837000787896,0.1916450896923993,0.03722194562645509
brier_worsened,entropy_sfda,patient_l2_drift_mean,84,36,0.18097660670655244,0.1506362303588239,0.14577820539582115,0.0970890509814416,0.030340376347728543
brier_worsened,entropy_sfda,patient_cosine_similarity_mean,84,36,0.9916703528760706,0.9982101592007623,0.996256460947651,0.998937147402131,-0.006539806324691644
brier_worsened,entropy_sfda,patient_top3_overlap_mean,84,36,0.9382162354636469,0.967139385112672,0.9413854650771201,0.9715447154471546,-0.028923149649025093
brier_worsened,entropy_sfda,mean_absolute_probability_shift,84,36,0.05161644155833091,0.03666379567913905,0.047886045164007504,0.0344534337717464,0.014952645879191859
brier_worsened,reliability_gated_sfda,global_importance_spearman,65,55,0.9970695970695971,0.9965367965367964,1.0,1.0,0.0005328005328006924
brier_worsened,reliability_gated_sfda,global_top3_overlap_fraction,65,55,1.0,1.0,1.0,1.0,0.0
brier_worsened,reliability_gated_sfda,global_importance_relative_l1_drift,65,55,0.020743079226764116,0.011414183157971564,0.0229396918709916,0.0046826420068621,0.009328896068792551
