source,target,seed,method,global_importance_spearman,global_top3_overlap_fraction,global_top3_jaccard,global_importance_l1_drift,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l1_drift_median,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_cosine_similarity_median,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,switzerland,9,pseudo_label_sfda,1.0,1.0,1.0,0.1328553931775307,0.05223906148559197,0.1412189503581778,0.12638305500149713,0.0685302275840685,0.9997401702663173,0.9998029196633331,0.991869918699187,0.017443935227830235
cleveland,switzerland,9,entropy_sfda,0.9761904761904763,0.6666666666666666,0.5,0.11078609364501003,0.04356135960500113,0.16899040436023863,0.1438995292410257,0.08633042431710868,0.9983232313609922,0.998663927284209,0.962059620596206,0.034473217493756037
cleveland,switzerland,9,reliability_gated_sfda,1.0,1.0,1.0,0.05670943563686673,0.02229828706380682,0.06304669636964222,0.061719119083136126,0.028615304101634043,0.9999235496116476,0.9999547415556386,0.991869918699187,0.004281947631540341
cleveland,switzerland,9,conservative_candidate,1.0,1.0,1.0,0.02280118542333416,0.008965481180596774,0.026767204459794483,0.025365717709064452,0.012479980536400868,0.9999718751845955,0.9999808500462816,1.0,0.004058894830021438
cleveland,va_long_beach,0,pseudo_label_sfda,0.9761904761904763,0.6666666666666666,0.5,0.26013581714105394,0.10234065598850552,0.26727937687312076,0.2569148709299043,0.12543253566548207,0.9989284654473503,0.9991140833798894,0.9883333333333334,0.03206631690263748
cleveland,va_long_beach,0,entropy_sfda,0.9761904761904763,0.6666666666666666,0.5,0.23877246990938145,0.0939360502951108,0.26654813609980915,0.2389518900308757,0.1337901382348394,0.9978206745230425,0.9983239948837553,0.97,0.037440725490450855
cleveland,va_long_beach,0,reliability_gated_sfda,1.0,1.0,1.0,0.059091198990863535,0.023247210377774233,0.05985876290993474,0.057454580906778616,0.028186521659164212,0.9999761769133586,0.9999821719401325,1.0,0.004155193641781804
cleveland,va_long_beach,0,conservative_candidate,1.0,1.0,1.0,0.016861808066096377,0.006633644369321411,0.019584174229021298,0.01738654123619202,0.009283385158101815,0.9999832283903836,0.9999867636153086,0.9983333333333334,0.002317927777767176
cleveland,va_long_beach,1,pseudo_label_sfda,1.0,1.0,1.0,0.24850587202643526,0.10957485653615597,0.2532571290159831,0.24525009002536538,0.12151123828235524,0.9997268347628488,0.999828143318104,0.9883333333333334,0.028896632716059686
cleveland,va_long_beach,1,entropy_sfda,1.0,1.0,1.0,0.2897783695544059,0.12777333192282672,0.2997430845310737,0.2773952157003805,0.14883689936071215,0.9992456531285661,0.9994171160092459,0.98,0.03913620594888925
cleveland,va_long_beach,1,reliability_gated_sfda,1.0,1.0,1.0,0.058298926144489185,0.025706018197488748,0.06053402269317302,0.05920237535610791,0.028886965736374143,0.9999740368748374,0.999981588660719,0.995,0.004215892516076559
cleveland,va_long_beach,1,conservative_candidate,1.0,1.0,1.0,0.004549864661530595,0.002006193107151635,0.009715737801161606,0.008088738424703342,0.0045572444966251015,0.9999934702236581,0.9999958204361503,1.0,0.0010355508327484094
cleveland,va_long_beach,2,pseudo_label_sfda,0.9761904761904763,1.0,1.0,0.23633199861098547,0.0948176020810669,0.24491435108240694,0.23945800412911916,0.12047367994210471,0.9991436840389906,0.9993621173240317,0.9833333333333334,0.03262281328439712
cleveland,va_long_beach,2,entropy_sfda,0.9523809523809524,1.0,1.0,0.243017739502684,0.0974999553942535,0.2625177292533044,0.25065528054256003,0.13329264752809344,0.9986370973198757,0.9989674532780779,0.98,0.035562469698488704
cleveland,va_long_beach,2,reliability_gated_sfda,1.0,1.0,1.0,0.05989453176673142,0.024029991339589087,0.0603681068523656,0.057466006139293424,0.028501075062694056,0.9999805466391217,0.9999867788234962,0.9966666666666666,0.003934240564703943
cleveland,va_long_beach,2,conservative_candidate,1.0,1.0,1.0,0.020720321660046302,0.008313098631167158,0.023932519449736,0.02055491058854383,0.011009501406324009,0.9999809524521537,0.9999845993472305,0.9966666666666667,0.0031607455387711474
cleveland,va_long_beach,3,pseudo_label_sfda,1.0,1.0,1.0,0.17299117894668606,0.07155405107530108,0.19712334874813675,0.1897041355259716,0.09049291132560355,0.9995608314715514,0.9997188211302462,0.9866666666666666,0.02945348359644413
cleveland,va_long_beach,3,entropy_sfda,1.0,1.0,1.0,0.20645204208329238,0.08539441174847895,0.23745640995697614,0.21397490962408475,0.11640977358483207,0.998890031583822,0.999167551465891,0.9783333333333333,0.029665504712611427
cleveland,va_long_beach,3,reliability_gated_sfda,1.0,1.0,1.0,0.048697617958969215,0.020142714003674546,0.05105833564462957,0.04955457069445407,0.023732513459078324,0.9999890060453719,0.9999917262362934,0.9983333333333334,0.0033155769482254905
cleveland,va_long_beach,3,conservative_candidate,1.0,1.0,1.0,0.017134030226152328,0.007087120172212356,0.01979461071838158,0.015830751595785886,0.009276024200473737,0.9999864479875538,0.9999919619183053,0.9966666666666666,0.0030021378397941524
cleveland,va_long_beach,4,pseudo_label_sfda,1.0,1.0,1.0,0.24645772510364614,0.09121511646382993,0.26896757834441815,0.2569039939844515,0.13227963698141612,0.9991921681195274,0.9993418970274291,0.9866666666666666,0.0364921073615551
cleveland,va_long_beach,4,entropy_sfda,1.0,1.0,1.0,0.282491523750956,0.10455138798409294,0.31472932648992014,0.3023990374058485,0.15761678101573198,0.998907240573631,0.9991373486204251,0.9833333333333333,0.038209189772605893
cleveland,va_long_beach,4,reliability_gated_sfda,1.0,1.0,1.0,0.05953656076893818,0.02203474986272298,0.062375780159964034,0.05969459656625989,0.03038288323247237,0.99998532241552,0.9999904474149176,0.9983333333333334,0.0036212549731135368
cleveland,va_long_beach,4,conservative_candidate,1.0,1.0,1.0,0.015127276077873869,0.00559867315436549,0.02215441998898314,0.017847664712462304,0.010735315933331388,0.9999775093355097,0.999984210316551,0.995,0.0036598449200391757
cleveland,va_long_beach,5,pseudo_label_sfda,1.0,1.0,1.0,0.1729925930949685,0.07827487861372877,0.20277501293065142,0.19166889321059002,0.09700708464540381,0.9991472635414776,0.9994486989885258,0.9883333333333333,0.025377751961350444
cleveland,va_long_beach,5,entropy_sfda,1.0,1.0,1.0,0.17002671173489936,0.07693289050147077,0.21434070473675093,0.17934812424937263,0.10628098328608085,0.9986959298449983,0.9992344803373636,0.9816666666666666,0.02741260740906
cleveland,va_long_beach,5,reliability_gated_sfda,1.0,1.0,1.0,0.03922492956568017,0.017748312488154595,0.04206722429138608,0.038609054405242205,0.02082216265075725,0.9999822100565541,0.9999912854133737,0.9983333333333333,0.0028982688114047033
cleveland,va_long_beach,5,conservative_candidate,1.0,1.0,1.0,0.024083916689851277,0.010897377868694975,0.026247361588757494,0.0218070978298784,0.01473926418798843,0.9999724777407198,0.9999785926858888,1.0,0.0026376881077885693
cleveland,va_long_beach,6,pseudo_label_sfda,0.9523809523809524,1.0,1.0,0.18851303684670717,0.08829122394966453,0.19035464405169478,0.18029552884399894,0.08793718161463354,0.9997675626203071,0.9998449963674447,0.9866666666666667,0.018554579820483915
cleveland,va_long_beach,6,entropy_sfda,0.9523809523809524,1.0,1.0,0.27165584607073473,0.12723166282749207,0.2750170405613062,0.24227541428990645,0.13168448515658912,0.9991969807025611,0.9994721918081495,0.985,0.028714399226009837
cleveland,va_long_beach,6,reliability_gated_sfda,0.9761904761904763,1.0,1.0,0.04897917126388167,0.022939691870991607,0.04960932335558937,0.0462660457706079,0.024186674538989594,0.9999885744711509,0.9999927825278269,0.9983333333333334,0.004029637500643721
