source,target,direction,seed,method,delta_roc_auc,negative_adaptation_auc,global_importance_spearman,global_top3_overlap_fraction,global_importance_relative_l1_drift,patient_l1_drift_mean,patient_l2_drift_mean,patient_cosine_similarity_mean,patient_top3_overlap_mean,mean_absolute_probability_shift
cleveland,switzerland,cleveland -> switzerland,4,entropy_sfda,0.0021739130434783,False,1.0,1.0,0.0624336729635958,0.1944618509336342,0.0998691535288557,0.9995029448074032,0.983739837398374,0.0321042542989418
cleveland,switzerland,cleveland -> switzerland,4,reliability_gated_sfda,-0.001086956521739,True,1.0,1.0,0.0195038116731855,0.0616820856383542,0.0278773029504748,0.9999315735705232,0.994579945799458,0.0036387958874305
cleveland,switzerland,cleveland -> switzerland,4,conservative_candidate,0.0,False,1.0,1.0,0.0045599928921009,0.018182599030807,0.0087580076745066,0.9999836532322738,0.9972899728997288,0.0033594799811035
cleveland,switzerland,cleveland -> switzerland,5,pseudo_label_sfda,0.0021739130434782,False,1.0,1.0,0.0306584401070901,0.0912132739350654,0.0447191241692124,0.9997818633438736,0.994579945799458,0.0168825475635325
cleveland,switzerland,cleveland -> switzerland,5,entropy_sfda,0.0021739130434782,False,1.0,1.0,0.0504178506707322,0.1458383695770441,0.0701219769889049,0.9993424800515952,0.986449864498645,0.0206470447100274
cleveland,switzerland,cleveland -> switzerland,5,reliability_gated_sfda,-0.0010869565217391,True,1.0,1.0,0.0145928432426139,0.0402687335348067,0.0183518458214904,0.999946401124008,0.994579945799458,0.0029266922151654
cleveland,switzerland,cleveland -> switzerland,5,conservative_candidate,0.0,False,1.0,1.0,0.0082611624258985,0.0228226939438675,0.0117966817690476,0.9999847330306072,1.0,0.0019665272618696
cleveland,switzerland,cleveland -> switzerland,6,pseudo_label_sfda,-0.0054347826086955,True,0.9523809523809524,1.0,0.0399574369409237,0.0911040710741029,0.0422603674317262,0.9999222483051722,0.9864498644986448,0.0087784505259942
cleveland,switzerland,cleveland -> switzerland,6,entropy_sfda,-0.0043478260869564,True,0.9047619047619048,1.0,0.0750894975228676,0.1718744952063647,0.0805660228564586,0.9995837044698724,0.9864498644986448,0.0199037936584251
cleveland,switzerland,cleveland -> switzerland,6,reliability_gated_sfda,-0.0032608695652174,True,0.9523809523809524,1.0,0.0219667557337234,0.050650731454096,0.0231223093971978,0.9999716600160984,1.0,0.0039555904553915
