source,target,seed,method,delta_roc_auc,negative_adaptation_auc,brier_improvement,brier_worsened,expected_negative_adaptation_auc,negative_adaptation_flag_match,expected_brier_worsened,brier_worsened_flag_match,effect_tolerance
cleveland,va_long_beach,8,reliability_gated_sfda,0.0006579813133306,False,-0.000958917143513,True,False,True,True,True,1e-08
cleveland,va_long_beach,8,conservative_candidate,0.0013159626266614,False,0.0007107873302619,False,False,True,False,True,1e-08
cleveland,va_long_beach,9,pseudo_label_sfda,-0.0005263850506646,True,0.0001741965557012,False,True,True,False,True,1e-08
cleveland,va_long_beach,9,entropy_sfda,0.001973943939992,False,-0.0004660866225138,True,False,True,True,True,1e-08
cleveland,va_long_beach,9,reliability_gated_sfda,0.0002631925253321,False,-0.0011551567240962,True,False,True,True,True,1e-08
cleveland,va_long_beach,9,conservative_candidate,-0.0005263850506647,True,0.0005797685628633,False,True,True,False,True,1e-08
hungary,cleveland,0,pseudo_label_sfda,0.0016669591156343,False,-0.0023886622153493,True,False,True,True,True,1e-08
hungary,cleveland,0,entropy_sfda,0.0012721530092998,False,-0.0078148266064691,True,False,True,True,True,1e-08
hungary,cleveland,0,reliability_gated_sfda,-8.77346902964371e-05,True,0.000256564060171,False,True,True,False,True,1e-08
hungary,cleveland,0,conservative_candidate,-0.0002193367257412,True,-0.0002147086011198,True,True,True,True,True,1e-08
hungary,cleveland,1,pseudo_label_sfda,0.0005264081417792,False,-0.0042142458605991,True,False,True,True,True,1e-08
hungary,cleveland,1,entropy_sfda,-0.0005702754869273,True,-0.0082220419813804,True,True,True,True,True,1e-08
hungary,cleveland,1,reliability_gated_sfda,0.000307071416038,False,2.483384696053137e-05,False,False,True,False,True,1e-08
hungary,cleveland,1,conservative_candidate,-0.0003070714160378,True,-0.0002508783203713,True,True,True,True,True,1e-08
hungary,cleveland,2,pseudo_label_sfda,0.0019301631865239,False,-0.0027381039946097,True,False,True,True,True,1e-08
hungary,cleveland,2,entropy_sfda,0.0022372346025617,False,-0.0089595785127581,True,False,True,True,True,1e-08
hungary,cleveland,2,reliability_gated_sfda,0.0009212142481137,False,0.0002887944331855,False,False,True,False,True,1e-08
hungary,cleveland,2,conservative_candidate,0.0003509387611861,False,0.0001112950502391,False,False,True,False,True,1e-08
hungary,cleveland,3,pseudo_label_sfda,0.0019740305316721,False,-0.0053938312577105,True,False,True,True,True,1e-08
hungary,cleveland,3,entropy_sfda,0.0011405509738551,False,-0.011205735686913,True,False,True,True,True,1e-08
hungary,cleveland,3,reliability_gated_sfda,0.0010966836287067,False,5.855666428464246e-05,False,False,True,False,True,1e-08
hungary,cleveland,3,conservative_candidate,0.0007457448675205,False,6.204851467239703e-06,False,False,True,False,True,1e-08
hungary,cleveland,4,pseudo_label_sfda,0.0023688366380066,False,-0.0032434570837547,True,False,True,True,True,1e-08
hungary,cleveland,4,entropy_sfda,0.0010528162835584,False,-0.008538365336092,True,False,True,True,True,1e-08
hungary,cleveland,4,reliability_gated_sfda,0.0005264081417792,False,0.0002196416578713,False,False,True,False,True,1e-08
hungary,cleveland,4,conservative_candidate,0.0002632040708895,False,-7.808965426958636e-05,True,False,True,True,True,1e-08
hungary,cleveland,5,pseudo_label_sfda,0.0017985611510792,False,-0.0059666891973707,True,False,True,True,True,1e-08
hungary,cleveland,5,entropy_sfda,0.0003509387611861,False,-0.0112451053871518,True,False,True,True,True,1e-08
hungary,cleveland,5,reliability_gated_sfda,0.0003070714160379,False,0.0002259860890755,False,False,True,False,True,1e-08
hungary,cleveland,5,conservative_candidate,0.0001316020354448,False,5.367254239663222e-07,False,False,True,False,True,1e-08
hungary,cleveland,6,pseudo_label_sfda,0.0010528162835584,False,-0.0024925856602137,True,False,True,True,True,1e-08
hungary,cleveland,6,entropy_sfda,0.0003070714160378,False,-0.0057807626492615,True,False,True,True,True,1e-08
hungary,cleveland,6,reliability_gated_sfda,0.0002632040708896,False,2.994517416993192e-05,False,False,True,False,True,1e-08
hungary,cleveland,6,conservative_candidate,-4.386734514838509e-05,True,-2.1280270024542917e-05,True,True,True,True,True,1e-08
hungary,cleveland,7,pseudo_label_sfda,0.0007896122126689,False,-0.006595451045814,True,False,True,True,True,1e-08
hungary,cleveland,7,entropy_sfda,-8.773469029654812e-05,True,-0.012125964326587,True,True,True,True,True,1e-08
hungary,cleveland,7,reliability_gated_sfda,0.0004386734514826,False,0.0001420047607031,False,False,True,False,True,1e-08
hungary,cleveland,7,conservative_candidate,8.773469029654812e-05,False,-3.9161182802505135e-05,True,False,True,True,True,1e-08
hungary,cleveland,8,pseudo_label_sfda,0.0023688366380069,False,-0.0031487853868912,True,False,True,True,True,1e-08
hungary,cleveland,8,entropy_sfda,0.0017108264607826,False,-0.0096540638611746,True,False,True,True,True,1e-08
hungary,cleveland,8,reliability_gated_sfda,0.0009212142481138,False,0.0002982805711988,False,False,True,False,True,1e-08
hungary,cleveland,8,conservative_candidate,0.0002632040708898,False,8.57122082700279e-05,False,False,True,False,True,1e-08
hungary,cleveland,9,pseudo_label_sfda,0.0032023161958238,False,-0.0041466492473041,True,False,True,True,True,1e-08
hungary,cleveland,9,entropy_sfda,0.0003948061063343,False,-0.0086555635368353,True,False,True,True,True,1e-08
hungary,cleveland,9,reliability_gated_sfda,0.0005264081417792,False,-3.476019392073537e-06,True,False,True,True,True,1e-08
hungary,cleveland,9,conservative_candidate,8.773469029654812e-05,False,-7.957149615969716e-05,True,False,True,True,True,1e-08
hungary,switzerland,0,pseudo_label_sfda,-0.0032608695652173,True,0.0087718815548026,False,True,True,False,True,1e-08
hungary,switzerland,0,entropy_sfda,-0.0032608695652173,True,0.0025298159142786,False,True,True,False,True,1e-08
hungary,switzerland,0,reliability_gated_sfda,0.0010869565217391,False,-0.004740865296656,True,False,True,True,True,1e-08
hungary,switzerland,0,conservative_candidate,0.0,False,-0.0008465773221327,True,False,True,True,True,1e-08
hungary,switzerland,1,pseudo_label_sfda,-0.001086956521739,True,0.0057505623513706,False,True,True,False,True,1e-08
hungary,switzerland,1,entropy_sfda,-0.001086956521739,True,0.007089962394238,False,True,True,False,True,1e-08
hungary,switzerland,1,reliability_gated_sfda,0.0,False,-0.0036923609077797,True,False,True,True,True,1e-08
hungary,switzerland,1,conservative_candidate,0.0,False,0.0009791305273167,False,False,True,False,True,1e-08
hungary,switzerland,2,pseudo_label_sfda,-0.0010869565217389,True,0.0022566665369186,False,True,True,False,True,1e-08
hungary,switzerland,2,entropy_sfda,-0.0021739130434781,True,0.0114866335300754,False,True,True,False,True,1e-08
hungary,switzerland,2,reliability_gated_sfda,0.0,False,-0.0045156657158948,True,False,True,True,True,1e-08
hungary,switzerland,2,conservative_candidate,0.0,False,0.0025956555553169,False,False,True,False,True,1e-08
hungary,switzerland,3,pseudo_label_sfda,-0.0021739130434781,True,0.0049157494996785,False,True,True,False,True,1e-08
hungary,switzerland,3,entropy_sfda,0.0,False,-0.0002891258341641,True,False,True,True,True,1e-08
hungary,switzerland,3,reliability_gated_sfda,-0.001086956521739,True,-0.0049621272179032,True,True,True,True,True,1e-08
hungary,switzerland,3,conservative_candidate,0.001086956521739,False,0.0027798925406863,False,False,True,False,True,1e-08
hungary,switzerland,4,pseudo_label_sfda,-0.0043478260869564,True,0.0067327686475885,False,True,True,False,True,1e-08
hungary,switzerland,4,entropy_sfda,-0.001086956521739,True,0.0043140276724508,False,True,True,False,True,1e-08
hungary,switzerland,4,reliability_gated_sfda,0.0,False,-0.0030518789058121,True,False,True,True,True,1e-08
hungary,switzerland,4,conservative_candidate,0.0010869565217391,False,0.0018226271631189,False,False,True,False,True,1e-08
hungary,switzerland,5,pseudo_label_sfda,-0.0010869565217391,True,-0.0008930414439716,True,True,True,True,True,1e-08
hungary,switzerland,5,entropy_sfda,0.0,False,-0.0015588761345257,True,False,True,True,True,1e-08
hungary,switzerland,5,reliability_gated_sfda,-0.0010869565217391,True,-0.0032715956088872,True,True,True,True,True,1e-08
hungary,switzerland,5,conservative_candidate,0.0,False,0.002302454088521,False,False,True,False,True,1e-08
hungary,switzerland,6,pseudo_label_sfda,-0.001086956521739,True,-0.0025670137403606,True,True,True,True,True,1e-08
hungary,switzerland,6,entropy_sfda,0.0010869565217392,False,-0.0015610101556549,True,False,True,True,True,1e-08
hungary,switzerland,6,reliability_gated_sfda,0.0,False,-0.0034877863967084,True,False,True,True,True,1e-08
hungary,switzerland,6,conservative_candidate,-0.0021739130434781,True,0.0025090799084373,False,True,True,False,True,1e-08
hungary,switzerland,7,pseudo_label_sfda,-0.0076086956521739,True,-0.0006988998373498,True,True,True,True,True,1e-08
hungary,switzerland,7,entropy_sfda,-0.0054347826086957,True,0.0017714382454264,False,True,True,False,True,1e-08
hungary,switzerland,7,reliability_gated_sfda,0.001086956521739,False,-0.0047354041722728,True,False,True,True,True,1e-08
hungary,switzerland,7,conservative_candidate,0.0,False,0.0028580761479657,False,False,True,False,True,1e-08
hungary,switzerland,8,pseudo_label_sfda,-0.0032608695652174,True,-0.0031398026904886,True,True,True,True,True,1e-08
hungary,switzerland,8,entropy_sfda,-0.0032608695652174,True,0.0003990902071038,False,True,True,False,True,1e-08
hungary,switzerland,8,reliability_gated_sfda,-0.0043478260869564,True,-0.0041115539309093,True,True,True,True,True,1e-08
hungary,switzerland,8,conservative_candidate,-0.0021739130434782,True,0.0022843415575867,False,True,True,False,True,1e-08
hungary,switzerland,9,pseudo_label_sfda,-0.001086956521739,True,0.0025566325134699,False,True,True,False,True,1e-08
hungary,switzerland,9,entropy_sfda,0.0054347826086955,False,0.0024112498852617,False,False,True,False,True,1e-08
hungary,switzerland,9,reliability_gated_sfda,0.0,False,-0.0055526778219186,True,False,True,True,True,1e-08
hungary,switzerland,9,conservative_candidate,0.0,False,0.0015072634544273,False,False,True,False,True,1e-08
hungary,va_long_beach,0,pseudo_label_sfda,-0.0002631925253322,True,0.0039258782496117,False,True,True,False,True,1e-08
hungary,va_long_beach,0,entropy_sfda,-0.001052770101329,True,-0.012206070753854,True,True,True,True,True,1e-08
hungary,va_long_beach,0,reliability_gated_sfda,0.0,False,-0.0027140585693477,True,False,True,True,True,1e-08
hungary,va_long_beach,0,conservative_candidate,-0.0011843663639952,True,-0.000198586936474,True,True,True,True,True,1e-08
hungary,va_long_beach,1,pseudo_label_sfda,0.0019739439399921,False,0.0021406067789698,False,False,True,False,True,1e-08
hungary,va_long_beach,1,entropy_sfda,0.0,False,-0.0124516113160387,True,False,True,True,True,1e-08
hungary,va_long_beach,1,reliability_gated_sfda,0.0001315962626661,False,-0.0026032683156628,True,False,True,True,True,1e-08
hungary,va_long_beach,1,conservative_candidate,0.0005263850506644,False,0.000157810563397,False,False,True,False,True,1e-08
hungary,va_long_beach,2,pseudo_label_sfda,0.0,False,0.0029709091279298,False,False,True,False,True,1e-08
hungary,va_long_beach,2,entropy_sfda,0.0038162916173181,False,-0.0113257716998862,True,False,True,True,True,1e-08
hungary,va_long_beach,2,reliability_gated_sfda,0.0005263850506644,False,-0.0029959160887247,True,False,True,True,True,1e-08
hungary,va_long_beach,2,conservative_candidate,-0.0005263850506646,True,0.0006674267843845,False,True,True,False,True,1e-08
hungary,va_long_beach,3,pseudo_label_sfda,0.0023687327279905,False,0.0008095470576078,False,False,True,False,True,1e-08
hungary,va_long_beach,3,entropy_sfda,0.0003947887879983,False,-0.0156587925085277,True,False,True,True,True,1e-08
hungary,va_long_beach,3,reliability_gated_sfda,-0.0002631925253322,True,-0.0030131218291757,True,True,True,True,True,1e-08
hungary,va_long_beach,3,conservative_candidate,0.0003947887879983,False,0.0009040738749742,False,False,True,False,True,1e-08
hungary,va_long_beach,4,pseudo_label_sfda,-0.0007895775759967,True,0.0036702576386508,False,True,True,False,True,1e-08
hungary,va_long_beach,4,entropy_sfda,-0.0007895775759968,True,-0.014772166127731,True,True,True,True,True,1e-08
hungary,va_long_beach,4,reliability_gated_sfda,-0.0009211738386629,True,-0.0026169963790571,True,True,True,True,True,1e-08
hungary,va_long_beach,4,conservative_candidate,-0.0015791551519935,True,0.0008624148839778,False,True,True,False,True,1e-08
hungary,va_long_beach,5,pseudo_label_sfda,0.0006579813133307,False,-0.0039372422141214,True,False,True,True,True,1e-08
hungary,va_long_beach,5,entropy_sfda,-0.000131596262666,True,-0.0177728415504634,True,True,True,True,True,1e-08
hungary,va_long_beach,5,reliability_gated_sfda,0.0005263850506647,False,-0.0023249763636713,True,False,True,True,True,1e-08
hungary,va_long_beach,5,conservative_candidate,0.0001315962626661,False,0.0010146678005815,False,False,True,False,True,1e-08
hungary,va_long_beach,6,pseudo_label_sfda,-0.0010527701013289,True,-0.0046464715354712,True,True,True,True,True,1e-08
hungary,va_long_beach,6,entropy_sfda,-0.003026714041321,True,-0.0172795279136258,True,True,True,True,True,1e-08
hungary,va_long_beach,6,reliability_gated_sfda,-0.0005263850506644,True,-0.0031726609673988,True,True,True,True,True,1e-08
hungary,va_long_beach,6,conservative_candidate,-0.000131596262666,True,0.000722078217373,False,True,True,False,True,1e-08
hungary,va_long_beach,7,pseudo_label_sfda,0.0031583103039872,False,0.0001121792291573,False,False,True,False,True,1e-08
hungary,va_long_beach,7,entropy_sfda,-0.0015791551519936,True,-0.0179607202631081,True,True,True,True,True,1e-08
hungary,va_long_beach,7,reliability_gated_sfda,-0.0003947887879984,True,-0.0034840836407238,True,True,True,True,True,1e-08
hungary,va_long_beach,7,conservative_candidate,0.0006579813133306,False,0.0013074291400581,False,False,True,False,True,1e-08
hungary,va_long_beach,8,pseudo_label_sfda,-0.0005263850506646,True,-0.0001067584777011,True,True,True,True,True,1e-08
hungary,va_long_beach,8,entropy_sfda,-0.0034215028293195,True,-0.0216238519656382,True,True,True,True,True,1e-08
hungary,va_long_beach,8,reliability_gated_sfda,-0.0005263850506646,True,-0.0025935439320961,True,True,True,True,True,1e-08
hungary,va_long_beach,8,conservative_candidate,-0.0001315962626661,True,0.0006924695957799,False,True,True,False,True,1e-08
hungary,va_long_beach,9,pseudo_label_sfda,0.0002631925253322,False,0.002930787686736,False,False,True,False,True,1e-08
hungary,va_long_beach,9,entropy_sfda,0.0001315962626661,False,-0.0184198149560698,True,False,True,True,True,1e-08
