source,target,method,delta_roc_auc_mean,delta_roc_auc_std,delta_roc_auc_median,brier_improvement_mean,brier_improvement_std,brier_improvement_median,brier_degradation_mean,brier_degradation_std,brier_degradation_median,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_balanced_accuracy_median,global_importance_spearman_mean,global_importance_spearman_std,global_importance_spearman_median,global_top3_overlap_fraction_mean,global_top3_overlap_fraction_std,global_top3_overlap_fraction_median,global_importance_relative_l1_drift_mean,global_importance_relative_l1_drift_std,global_importance_relative_l1_drift_median,patient_l1_drift_mean_mean,patient_l1_drift_mean_std,patient_l1_drift_mean_median,patient_l2_drift_mean_mean,patient_l2_drift_mean_std,patient_l2_drift_mean_median,patient_cosine_similarity_mean_mean,patient_cosine_similarity_mean_std,patient_cosine_similarity_mean_median,patient_top3_overlap_mean_mean,patient_top3_overlap_mean_std,patient_top3_overlap_mean_median,mean_absolute_probability_shift_mean,mean_absolute_probability_shift_std,mean_absolute_probability_shift_median
switzerland,cleveland,pseudo_label_sfda,0.00276364274434103,0.0029316459205726677,0.0034655202667134,-0.05601468498132232,0.00409214300740187,-0.0559187816262538,0.05601468498132232,0.00409214300740187,0.0559187816262538,0.0,0.0,0.0,0.9642857142857144,0.034136211377153315,0.9761904761904764,0.8,0.17213259316477406,0.6666666666666666,0.24755919007331192,0.03893674103121213,0.2556378201941753,0.3801686579944282,0.08511398407546682,0.39319005522985706,0.18473271281578624,0.03882554853130551,0.18649278790401308,0.9947583131237316,0.002478491202269011,0.9956230559141641,0.9298129812981297,0.01773722472384874,0.9295929592959296,0.05094588450079305,0.0028893736588679964,0.051735745601528105
switzerland,cleveland,reliability_gated_sfda,0.0,0.0,0.0,-2.780251734391114e-09,1.761065052693326e-08,-4.3855194475916903e-10,2.780251734391114e-09,1.761065052693326e-08,4.3855194475916903e-10,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
switzerland,hungary,conservative_candidate,0.0,0.0,0.0,2.9005287061067932e-11,1.87874617463213e-08,6.601904439795803e-09,-2.9005287061067932e-11,1.87874617463213e-08,-6.601904439795803e-09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
switzerland,hungary,entropy_sfda,-0.009494179044560359,0.008667424897531516,-0.0068747490967482,-0.06953937076978799,0.0058636327765307595,-0.07090533948254446,0.06953937076978799,0.0058636327765307595,0.07090533948254446,0.0,0.0,0.0,0.9404761904761905,0.04924473669043987,0.9523809523809524,0.9666666666666666,0.10540925533894599,1.0,0.18124273087768217,0.03732352447366069,0.17296486082059914,0.2898110081827877,0.07127878246706237,0.28076463989109346,0.1401382621978576,0.030859452076310086,0.13596043335561506,0.9902281215271647,0.0037957345907128426,0.9907112510356149,0.9113378684807255,0.023043131057618765,0.9087301587301586,0.04964711434987121,0.00351149047822762,0.050432427095718046
switzerland,hungary,pseudo_label_sfda,-0.0012796065837013199,0.0061896362558682425,-0.00027599357687674997,-0.06639709786676813,0.005128744711631455,-0.06663524840473889,0.06639709786676813,0.005128744711631455,0.06663524840473889,0.0,0.0,0.0,0.9714285714285715,0.05118893808443519,0.9880952380952381,1.0,0.0,1.0,0.22444547995856098,0.04035610930894013,0.2212029344086212,0.3336228635514342,0.07670952266072151,0.34425555154971677,0.16927919432020574,0.03324986766304476,0.1715100701674676,0.9949009125037346,0.0032517483975047683,0.99559576307345,0.9349206349206349,0.016177831275951935,0.9302721088435374,0.04842085065890328,0.0028560400235322853,0.04886556117713045
switzerland,hungary,reliability_gated_sfda,0.0,0.0,0.0,2.9005287061067932e-11,1.87874617463213e-08,6.601904439795803e-09,-2.9005287061067932e-11,1.87874617463213e-08,-6.601904439795803e-09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
switzerland,va_long_beach,conservative_candidate,0.0,0.0,0.0,7.50098678170552e-09,1.1129481665831743e-08,7.7203059917208e-09,-7.50098678170552e-09,1.1129481665831743e-08,-7.7203059917208e-09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
switzerland,va_long_beach,entropy_sfda,0.00958678773522831,0.0037601711536441383,0.009277536517962849,-0.01062728777991258,0.001147985919214625,-0.01109235221554965,0.01062728777991258,0.001147985919214625,0.01109235221554965,0.0,0.0,0.0,0.9928571428571429,0.016070203755013116,1.0,1.0,0.0,1.0,0.10392401918967782,0.014576186849428177,0.0989706219673783,0.16023201399001658,0.03422707995088295,0.15793043447025404,0.08014543617968453,0.017431235267287556,0.08012291194594605,0.9972779820209678,0.0005170256585169946,0.9972528868037237,0.9591666666666667,0.007667874301023519,0.9575,0.021908406198024692,0.0026989074008890563,0.022315435111522598
switzerland,va_long_beach,pseudo_label_sfda,0.01246216607448344,0.004137348734351205,0.01263324121594945,-0.017539213678068342,0.0010293499175797218,-0.01760778986602985,0.017539213678068342,0.0010293499175797218,0.01760778986602985,0.0,0.0,0.0,0.9880952380952381,0.016835875742536772,1.0,1.0,0.0,1.0,0.236716570658346,0.024406054401306682,0.2252774640337349,0.3418949946772536,0.06000479986832146,0.3483945103021687,0.1686606418740883,0.03064560117321843,0.1727442938579134,0.9953083557602266,0.0008576536836667942,0.9953749176504594,0.9466666666666667,0.011600340565456169,0.9483333333333335,0.03448530882596966,0.0027051634010607896,0.03396303400397295
switzerland,va_long_beach,reliability_gated_sfda,0.0,0.0,0.0,7.50098678170552e-09,1.1129481665831743e-08,7.7203059917208e-09,-7.50098678170552e-09,1.1129481665831743e-08,-7.7203059917208e-09,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
