source,target,seed,model_state,feature,mean_abs_shap,importance_rank
cleveland,hungary,4,source_only,restecg,0.07662692699906459,8
cleveland,hungary,4,source_only,thalach,0.7020070524157664,2
cleveland,hungary,4,source_only,exang,0.36485851120811946,5
cleveland,hungary,4,source_only,oldpeak,0.5791453548713403,3
cleveland,hungary,5,conservative_candidate,age,0.1800650633431236,7
cleveland,hungary,5,conservative_candidate,sex,0.701139861223649,2
cleveland,hungary,5,conservative_candidate,cp,0.8049035947579815,1
cleveland,hungary,5,conservative_candidate,trestbps,0.18012550621622933,6
cleveland,hungary,5,conservative_candidate,restecg,0.0514583789717893,8
cleveland,hungary,5,conservative_candidate,thalach,0.659501985342679,3
cleveland,hungary,5,conservative_candidate,exang,0.36919457438167463,5
cleveland,hungary,5,conservative_candidate,oldpeak,0.47104576015908295,4
cleveland,hungary,5,entropy_sfda,age,0.27364120200247866,6
cleveland,hungary,5,entropy_sfda,sex,0.778546925912909,2
cleveland,hungary,5,entropy_sfda,cp,0.9674249511516216,1
cleveland,hungary,5,entropy_sfda,trestbps,0.26888584621412187,7
cleveland,hungary,5,entropy_sfda,restecg,0.06529242269340209,8
cleveland,hungary,5,entropy_sfda,thalach,0.7579505267334455,3
cleveland,hungary,5,entropy_sfda,exang,0.4589822758622721,5
cleveland,hungary,5,entropy_sfda,oldpeak,0.5843667552812772,4
cleveland,hungary,5,pseudo_label_sfda,age,0.25627659808220277,6
cleveland,hungary,5,pseudo_label_sfda,sex,0.8142066950193879,2
cleveland,hungary,5,pseudo_label_sfda,cp,0.9649250349742645,1
cleveland,hungary,5,pseudo_label_sfda,trestbps,0.25307530331738975,7
cleveland,hungary,5,pseudo_label_sfda,restecg,0.061301583184846346,8
cleveland,hungary,5,pseudo_label_sfda,thalach,0.7854558129661849,3
cleveland,hungary,5,pseudo_label_sfda,exang,0.4647756705225325,5
cleveland,hungary,5,pseudo_label_sfda,oldpeak,0.5846397463536385,4
cleveland,hungary,5,reliability_gated_sfda,age,0.18475745734600288,7
cleveland,hungary,5,reliability_gated_sfda,sex,0.7120596430435473,2
cleveland,hungary,5,reliability_gated_sfda,cp,0.8187550440332441,1
cleveland,hungary,5,reliability_gated_sfda,trestbps,0.1863167202860421,6
cleveland,hungary,5,reliability_gated_sfda,restecg,0.05244582677544269,8
cleveland,hungary,5,reliability_gated_sfda,thalach,0.6722370047394668,3
cleveland,hungary,5,reliability_gated_sfda,exang,0.3768445278714303,5
cleveland,hungary,5,reliability_gated_sfda,oldpeak,0.48058993512523823,4
cleveland,hungary,5,source_only,age,0.17776385518297752,7
cleveland,hungary,5,source_only,sex,0.7021263401423182,2
cleveland,hungary,5,source_only,cp,0.8046647780163049,1
cleveland,hungary,5,source_only,trestbps,0.17802203302651792,6
cleveland,hungary,5,source_only,restecg,0.05185870405691524,8
cleveland,hungary,5,source_only,thalach,0.6599986958000682,3
cleveland,hungary,5,source_only,exang,0.36734544742079517,5
cleveland,hungary,5,source_only,oldpeak,0.4707009251653945,4
cleveland,hungary,6,conservative_candidate,age,0.11701634314851525,7
cleveland,hungary,6,conservative_candidate,sex,0.5737507333788945,2
cleveland,hungary,6,conservative_candidate,cp,0.7199506581393482,1
cleveland,hungary,6,conservative_candidate,trestbps,0.16856949683041217,6
cleveland,hungary,6,conservative_candidate,restecg,0.0475471971594557,8
cleveland,hungary,6,conservative_candidate,thalach,0.5704764909551282,3
cleveland,hungary,6,conservative_candidate,exang,0.3788590776879771,5
cleveland,hungary,6,conservative_candidate,oldpeak,0.4859474744761781,4
cleveland,hungary,6,entropy_sfda,age,0.1851236737803651,7
cleveland,hungary,6,entropy_sfda,sex,0.6278580604184444,3
cleveland,hungary,6,entropy_sfda,cp,0.8766296002665396,1
cleveland,hungary,6,entropy_sfda,trestbps,0.20668843918603522,6
cleveland,hungary,6,entropy_sfda,restecg,0.061444539874835606,8
cleveland,hungary,6,entropy_sfda,thalach,0.6885478867306596,2
cleveland,hungary,6,entropy_sfda,exang,0.48468846092824225,5
cleveland,hungary,6,entropy_sfda,oldpeak,0.5984139545522884,4
cleveland,hungary,6,pseudo_label_sfda,age,0.16856968889866641,7
cleveland,hungary,6,pseudo_label_sfda,sex,0.6488123566140326,3
cleveland,hungary,6,pseudo_label_sfda,cp,0.8596237779525268,1
cleveland,hungary,6,pseudo_label_sfda,trestbps,0.20426105543952056,6
cleveland,hungary,6,pseudo_label_sfda,restecg,0.05608203246529038,8
cleveland,hungary,6,pseudo_label_sfda,thalach,0.6825986188031784,2
cleveland,hungary,6,pseudo_label_sfda,exang,0.4630419088869679,5
cleveland,hungary,6,pseudo_label_sfda,oldpeak,0.583559650553986,4
cleveland,hungary,6,reliability_gated_sfda,age,0.11977127875087756,7
cleveland,hungary,6,reliability_gated_sfda,sex,0.5837519629826756,2
cleveland,hungary,6,reliability_gated_sfda,cp,0.7336725001888615,1
cleveland,hungary,6,reliability_gated_sfda,trestbps,0.1738254514825372,6
cleveland,hungary,6,reliability_gated_sfda,restecg,0.04826550650034969,8
cleveland,hungary,6,reliability_gated_sfda,thalach,0.5827077024704999,3
cleveland,hungary,6,reliability_gated_sfda,exang,0.3875911691967322,5
cleveland,hungary,6,reliability_gated_sfda,oldpeak,0.49594163230690014,4
cleveland,hungary,6,source_only,age,0.11438117449192228,7
cleveland,hungary,6,source_only,sex,0.5763112931658013,2
cleveland,hungary,6,source_only,cp,0.7180624363728526,1
cleveland,hungary,6,source_only,trestbps,0.16821304791279099,6
cleveland,hungary,6,source_only,restecg,0.0477214023231514,8
cleveland,hungary,6,source_only,thalach,0.5701820731343588,3
cleveland,hungary,6,source_only,exang,0.376614173658851,5
cleveland,hungary,6,source_only,oldpeak,0.48496524162818583,4
cleveland,hungary,7,conservative_candidate,age,0.15215964286808287,7
cleveland,hungary,7,conservative_candidate,sex,0.6728183083540323,2
cleveland,hungary,7,conservative_candidate,cp,0.7081179439310105,1
cleveland,hungary,7,conservative_candidate,trestbps,0.17881376243736533,6
cleveland,hungary,7,conservative_candidate,restecg,0.064560917253229,8
cleveland,hungary,7,conservative_candidate,thalach,0.5736158194977056,3
cleveland,hungary,7,conservative_candidate,exang,0.39246520471638763,5
cleveland,hungary,7,conservative_candidate,oldpeak,0.5053111359185609,4
cleveland,hungary,7,entropy_sfda,age,0.24160919603606573,7
cleveland,hungary,7,entropy_sfda,sex,0.7469746644805078,2
cleveland,hungary,7,entropy_sfda,cp,0.8461254990011896,1
cleveland,hungary,7,entropy_sfda,trestbps,0.26121852477397894,6
cleveland,hungary,7,entropy_sfda,restecg,0.08261361131903894,8
cleveland,hungary,7,entropy_sfda,thalach,0.6685349006003061,3
cleveland,hungary,7,entropy_sfda,exang,0.5247576564271637,5
cleveland,hungary,7,entropy_sfda,oldpeak,0.6254552804934633,4
cleveland,hungary,7,pseudo_label_sfda,age,0.2179160362606881,7
cleveland,hungary,7,pseudo_label_sfda,sex,0.7735977256987371,2
cleveland,hungary,7,pseudo_label_sfda,cp,0.8432640163173469,1
cleveland,hungary,7,pseudo_label_sfda,trestbps,0.24633176565062584,6
cleveland,hungary,7,pseudo_label_sfda,restecg,0.07738744973943114,8
cleveland,hungary,7,pseudo_label_sfda,thalach,0.6829503860489345,3
cleveland,hungary,7,pseudo_label_sfda,exang,0.4974430148952267,5
cleveland,hungary,7,pseudo_label_sfda,oldpeak,0.612399791487727,4
cleveland,hungary,7,reliability_gated_sfda,age,0.155234485344334,7
cleveland,hungary,7,reliability_gated_sfda,sex,0.6857705361076764,2
cleveland,hungary,7,reliability_gated_sfda,cp,0.7220793691442875,1
cleveland,hungary,7,reliability_gated_sfda,trestbps,0.18500023310549465,6
cleveland,hungary,7,reliability_gated_sfda,restecg,0.06500612971884491,8
cleveland,hungary,7,reliability_gated_sfda,thalach,0.5858167780034219,3
cleveland,hungary,7,reliability_gated_sfda,exang,0.40223255461449325,5
cleveland,hungary,7,reliability_gated_sfda,oldpeak,0.5163282069383937,4
cleveland,hungary,7,source_only,age,0.15008741931237043,7
cleveland,hungary,7,source_only,sex,0.6746732718786415,2
cleveland,hungary,7,source_only,cp,0.7081199363296254,1
cleveland,hungary,7,source_only,trestbps,0.17763916630461038,6
cleveland,hungary,7,source_only,restecg,0.06477852513994636,8
cleveland,hungary,7,source_only,thalach,0.5716857874724811,3
cleveland,hungary,7,source_only,exang,0.39098407460224566,5
cleveland,hungary,7,source_only,oldpeak,0.5052173922319902,4
cleveland,hungary,8,conservative_candidate,age,0.20813822804484516,7
cleveland,hungary,8,conservative_candidate,sex,0.7083068799455555,2
cleveland,hungary,8,conservative_candidate,cp,0.7769905868236634,1
cleveland,hungary,8,conservative_candidate,trestbps,0.23763809120044949,6
cleveland,hungary,8,conservative_candidate,restecg,0.10279890880674487,8
cleveland,hungary,8,conservative_candidate,thalach,0.6357537309043616,3
cleveland,hungary,8,conservative_candidate,exang,0.4328690957100618,5
cleveland,hungary,8,conservative_candidate,oldpeak,0.4744818346435521,4
cleveland,hungary,8,entropy_sfda,age,0.2981159029042247,7
cleveland,hungary,8,entropy_sfda,sex,0.809359518646383,2
cleveland,hungary,8,entropy_sfda,cp,0.9340717024858851,1
cleveland,hungary,8,entropy_sfda,trestbps,0.3230647541040897,6
cleveland,hungary,8,entropy_sfda,restecg,0.13380311121752317,8
cleveland,hungary,8,entropy_sfda,thalach,0.7597837806299177,3
cleveland,hungary,8,entropy_sfda,exang,0.5540539063513279,5
cleveland,hungary,8,entropy_sfda,oldpeak,0.6153791787888424,4
cleveland,hungary,8,pseudo_label_sfda,age,0.2865789032214144,7
cleveland,hungary,8,pseudo_label_sfda,sex,0.8436505577596677,2
cleveland,hungary,8,pseudo_label_sfda,cp,0.9427861104241009,1
cleveland,hungary,8,pseudo_label_sfda,trestbps,0.31090279910111557,6
cleveland,hungary,8,pseudo_label_sfda,restecg,0.12487706131552072,8
cleveland,hungary,8,pseudo_label_sfda,thalach,0.7759077704707984,3
cleveland,hungary,8,pseudo_label_sfda,exang,0.5489323376392832,5
cleveland,hungary,8,pseudo_label_sfda,oldpeak,0.611942542311387,4
cleveland,hungary,8,reliability_gated_sfda,age,0.21181276790064374,7
cleveland,hungary,8,reliability_gated_sfda,sex,0.7214449379770529,2
cleveland,hungary,8,reliability_gated_sfda,cp,0.7923473005490315,1
cleveland,hungary,8,reliability_gated_sfda,trestbps,0.244493202147942,6
cleveland,hungary,8,reliability_gated_sfda,restecg,0.10442376556072927,8
cleveland,hungary,8,reliability_gated_sfda,thalach,0.6480745004464675,3
cleveland,hungary,8,reliability_gated_sfda,exang,0.44283887079986584,5
cleveland,hungary,8,reliability_gated_sfda,oldpeak,0.48467139577885876,4
cleveland,hungary,8,source_only,age,0.20410410417671487,7
cleveland,hungary,8,source_only,sex,0.7110774329274284,2
cleveland,hungary,8,source_only,cp,0.7761262703907112,1
cleveland,hungary,8,source_only,trestbps,0.23731027133081767,6
cleveland,hungary,8,source_only,restecg,0.10245052291528589,8
cleveland,hungary,8,source_only,thalach,0.6327828298683982,3
cleveland,hungary,8,source_only,exang,0.431101760731972,5
cleveland,hungary,8,source_only,oldpeak,0.4724151979574338,4
cleveland,hungary,9,conservative_candidate,age,0.17231020128210298,6
cleveland,hungary,9,conservative_candidate,sex,0.7038377246813101,2
cleveland,hungary,9,conservative_candidate,cp,0.754844512864884,1
cleveland,hungary,9,conservative_candidate,trestbps,0.14520527191181365,7
cleveland,hungary,9,conservative_candidate,restecg,0.09867515999841228,8
cleveland,hungary,9,conservative_candidate,thalach,0.5296333953991633,3
cleveland,hungary,9,conservative_candidate,exang,0.4168490970849383,5
cleveland,hungary,9,conservative_candidate,oldpeak,0.5077854351324289,4
cleveland,hungary,9,entropy_sfda,age,0.2624763748846112,6
cleveland,hungary,9,entropy_sfda,sex,0.7744051493628292,2
cleveland,hungary,9,entropy_sfda,cp,0.9175271326897755,1
cleveland,hungary,9,entropy_sfda,trestbps,0.21055231713943284,7
cleveland,hungary,9,entropy_sfda,restecg,0.13809106580942365,8
cleveland,hungary,9,entropy_sfda,thalach,0.6104458006792607,4
cleveland,hungary,9,entropy_sfda,exang,0.5595113204627418,5
cleveland,hungary,9,entropy_sfda,oldpeak,0.6362098233432186,3
cleveland,hungary,9,pseudo_label_sfda,age,0.24000561453723174,6
cleveland,hungary,9,pseudo_label_sfda,sex,0.8284543372665335,2
cleveland,hungary,9,pseudo_label_sfda,cp,0.9160740262809761,1
cleveland,hungary,9,pseudo_label_sfda,trestbps,0.19861856791298507,7
cleveland,hungary,9,pseudo_label_sfda,restecg,0.12492130462002625,8
cleveland,hungary,9,pseudo_label_sfda,thalach,0.6499261766177963,3
cleveland,hungary,9,pseudo_label_sfda,exang,0.5439627988479373,5
cleveland,hungary,9,pseudo_label_sfda,oldpeak,0.6381902338645491,4
cleveland,hungary,9,reliability_gated_sfda,age,0.1744821560913602,6
cleveland,hungary,9,reliability_gated_sfda,sex,0.7167808046678499,2
cleveland,hungary,9,reliability_gated_sfda,cp,0.7685324002016133,1
cleveland,hungary,9,reliability_gated_sfda,trestbps,0.14958676004775978,7
cleveland,hungary,9,reliability_gated_sfda,restecg,0.10006951039172324,8
