analysis_level,method,xai_metric,outcome,outcome_interpretation,n,spearman_rho,nominal_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_iterations,inference_note
direction_level_method_specific,entropy_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,12,-0.5499132776456018,0.06397666975408144,-0.8705152007426318,0.14707834386712543,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,12,0.053389235423501914,0.8691104938617287,-0.66418586255419,0.6342183707556586,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,12,-0.17796411807833973,0.5800164149739856,-0.7561148066214596,0.40529134999824956,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,12,-0.23076923076923078,0.470531995381542,-0.7698048013202342,0.4050179211469534,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,12,0.6153846153846154,0.033169901090105904,-0.025094134544466438,0.9566864640347811,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,12,-0.43356643356643365,0.15910576941219534,-0.842857142857143,0.17704281666084182,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,12,0.32867132867132864,0.2969041156887641,-0.37734619395203334,0.7992831541218638,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_l2_drift_mean,delta_roc_auc,AUROC change; positive = improvement,12,-0.37762237762237766,0.22620604493502647,-0.8022337662337662,0.2878450431144436,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_l2_drift_mean,brier_degradation,Brier degradation; positive = worsening,12,0.2797202797202798,0.37856866966230307,-0.41012480338310003,0.7786168270935377,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_cosine_similarity_mean,delta_roc_auc,AUROC change; positive = improvement,12,0.2027972027972028,0.5273023541661079,-0.5272827910097282,0.8149466192170819,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_cosine_similarity_mean,brier_degradation,Brier degradation; positive = worsening,12,-0.7272727272727274,0.0073550288578051294,-0.8848962209542711,-0.2594820065430761,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_top3_overlap_mean,delta_roc_auc,AUROC change; positive = improvement,12,0.2377622377622378,0.45680085263992326,-0.5390773694390716,0.8494758064516127,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,patient_top3_overlap_mean,brier_degradation,Brier degradation; positive = worsening,12,-0.6503496503496504,0.022034190932365316,-0.841726618705036,-0.07857142857142856,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,mean_absolute_probability_shift,delta_roc_auc,AUROC change; positive = improvement,12,-0.2867132867132868,0.36625146058358227,-0.8021978021978021,0.44653210332103266,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,entropy_sfda,mean_absolute_probability_shift,brier_degradation,Brier degradation; positive = worsening,12,0.4895104895104896,0.10625237175934595,-0.007385605525468929,0.8195269334782548,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_importance_spearman,delta_roc_auc,AUROC change; positive = improvement,12,-0.3438589735788377,0.2737764808929619,-0.808362971241081,0.3800679539966786,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_importance_spearman,brier_degradation,Brier degradation; positive = worsening,12,0.3850347364222458,0.21647665848629016,-0.31579181921761174,0.7849307070013466,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_top3_overlap_fraction,delta_roc_auc,AUROC change; positive = improvement,12,,,,,0,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_top3_overlap_fraction,brier_degradation,Brier degradation; positive = worsening,12,,,,,0,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_importance_relative_l1_drift,delta_roc_auc,AUROC change; positive = improvement,12,0.25531914893617025,0.42318186100439276,-0.42644312277823354,0.7300001317557764,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,global_importance_relative_l1_drift,brier_degradation,Brier degradation; positive = worsening,12,0.014084856304079975,0.965347215766319,-0.6531754930449147,0.6833664668165836,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,patient_l1_drift_mean,delta_roc_auc,AUROC change; positive = improvement,12,-0.021276595744680854,0.9476712190548106,-0.5956224837843883,0.6483614951356884,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
direction_level_method_specific,reliability_gated_sfda,patient_l1_drift_mean,brier_degradation,Brier degradation; positive = worsening,12,0.3380365512979194,0.28251685272908306,-0.3037989435540427,0.7835479169533562,5000,Exploratory. 10 source seeds averaged within each of 12 directions. Bootstrap resamples directions; no multiplicity correction.
