source,target,seed,model_state,feature,mean_abs_shap,importance_rank,importance_fraction,top3
cleveland,hungary,5,pseudo_label_sfda,exang,0.4647756705225325,5,0.11106662558696656,False
cleveland,hungary,5,pseudo_label_sfda,oldpeak,0.5846397463536385,4,0.13971033324208962,False
cleveland,hungary,5,reliability_gated_sfda,age,0.1847574573460028,7,0.05303017529318731,False
cleveland,hungary,5,reliability_gated_sfda,sex,0.7120596430435473,2,0.20437955919196157,True
cleveland,hungary,5,reliability_gated_sfda,cp,0.8187550440332441,1,0.2350039025810591,True
cleveland,hungary,5,reliability_gated_sfda,trestbps,0.1863167202860421,6,0.053477724140342096,False
cleveland,hungary,5,reliability_gated_sfda,restecg,0.0524458267754426,8,0.015053310579444541,False
cleveland,hungary,5,reliability_gated_sfda,thalach,0.6722370047394668,3,0.19294943063185843,True
cleveland,hungary,5,reliability_gated_sfda,exang,0.3768445278714303,5,0.1081641393985806,False
cleveland,hungary,5,reliability_gated_sfda,oldpeak,0.4805899351252382,4,0.13794175818356635,False
cleveland,hungary,5,source_only,age,0.1777638551829775,7,0.05209226562878986,False
cleveland,hungary,5,source_only,sex,0.7021263401423182,2,0.20575246738441644,True
cleveland,hungary,5,source_only,cp,0.8046647780163049,1,0.23580053051510608,True
cleveland,hungary,5,source_only,trestbps,0.1780220330265179,6,0.05216792256586141,False
cleveland,hungary,5,source_only,restecg,0.0518587040569152,8,0.01519677543062374,False
cleveland,hungary,5,source_only,thalach,0.6599986958000682,3,0.19340730060609254,True
cleveland,hungary,5,source_only,exang,0.3673454474207951,5,0.10764762389335912,False
cleveland,hungary,5,source_only,oldpeak,0.4707009251653945,4,0.13793511397575087,False
cleveland,hungary,6,conservative_candidate,age,0.1170163431485152,7,0.03821419139764428,False
cleveland,hungary,6,conservative_candidate,sex,0.5737507333788945,2,0.18737058217630734,True
cleveland,hungary,6,conservative_candidate,cp,0.7199506581393482,1,0.23511529677592832,True
cleveland,hungary,6,conservative_candidate,trestbps,0.1685694968304121,6,0.05504997714298934,False
cleveland,hungary,6,conservative_candidate,restecg,0.0475471971594557,8,0.015527554902026725,False
cleveland,hungary,6,conservative_candidate,thalach,0.5704764909551282,3,0.18630130823304894,True
cleveland,hungary,6,conservative_candidate,exang,0.3788590776879771,5,0.12372454067487279,False
cleveland,hungary,6,conservative_candidate,oldpeak,0.4859474744761781,4,0.15869654869718222,False
cleveland,hungary,6,entropy_sfda,age,0.1851236737803651,7,0.049639068228171594,False
cleveland,hungary,6,entropy_sfda,sex,0.6278580604184444,3,0.1683538818254819,True
cleveland,hungary,6,entropy_sfda,cp,0.8766296002665396,1,0.23505949104106924,True
cleveland,hungary,6,entropy_sfda,trestbps,0.2066884391860352,6,0.055421445162666665,False
cleveland,hungary,6,entropy_sfda,restecg,0.0614445398748356,8,0.01647574102658649,False
cleveland,hungary,6,entropy_sfda,thalach,0.6885478867306596,2,0.1846272539315375,True
cleveland,hungary,6,entropy_sfda,exang,0.4846884609282422,5,0.12996438051445117,False
cleveland,hungary,6,entropy_sfda,oldpeak,0.5984139545522884,4,0.16045873827003543,False
cleveland,hungary,6,pseudo_label_sfda,age,0.1685696888986664,7,0.045975025774550586,False
cleveland,hungary,6,pseudo_label_sfda,sex,0.6488123566140326,3,0.17695449883702694,True
cleveland,hungary,6,pseudo_label_sfda,cp,0.8596237779525268,1,0.2344503665278855,True
