source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
va_long_beach,switzerland,0,33,source_only,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.7086956521739131,0.9676021620025632,0.12184281647205353,4,4,13,102
va_long_beach,switzerland,0,33,pseudo_label_sfda,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.7086956521739131,0.9676021620025632,0.12184282026965151,4,4,13,102
va_long_beach,switzerland,0,33,entropy_sfda,0.8943089430894309,0.7108695652173913,0.9636363636363636,0.9217391304347826,0.5,0.9422222222222222,0.3382749146894857,0.7130434782608696,0.9676701113964934,0.09894740396748501,4,4,9,106
va_long_beach,switzerland,0,33,reliability_gated_sfda,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.7086956521739131,0.9676021620025632,0.1217453718357545,4,4,13,102
va_long_beach,switzerland,0,33,conservative_candidate,0.8617886178861789,0.6934782608695652,0.9622641509433962,0.8869565217391304,0.5,0.9230769230769231,0.27648953046104185,0.7086956521739131,0.9676021620025632,0.12235324960497528,4,4,13,102
va_long_beach,cleveland,1,33,source_only,0.6798679867986799,0.7004298999824531,0.5945945945945946,0.9496402877697842,0.45121951219512196,0.7313019390581718,0.45133896941673984,0.857738199684155,0.8467244671154677,0.21006916463375092,74,90,7,132
va_long_beach,cleveland,1,33,pseudo_label_sfda,0.6534653465346535,0.676039656080014,0.5739130434782609,0.9496402877697842,0.4024390243902439,0.7154471544715447,0.4102461208279013,0.8581768731356378,0.8473903945605961,0.21439515483350055,66,98,7,132
va_long_beach,cleveland,1,33,entropy_sfda,0.46204620462046203,0.5030487804878049,0.4602649006622517,1.0,0.006097560975609756,0.6303854875283447,0.05297634657770434,0.8522109141954728,0.8428465328807604,0.28701932305744265,1,163,0,139
va_long_beach,cleveland,1,33,reliability_gated_sfda,0.6864686468646864,0.7065274609580628,0.6,0.9496402877697842,0.4634146341463415,0.7353760445682451,0.46151597575776365,0.8579575364098964,0.8470704299794091,0.20993241268586343,76,88,7,132
va_long_beach,cleveland,1,33,conservative_candidate,0.6897689768976898,0.7095762414458677,0.6027397260273972,0.9496402877697842,0.4695121951219512,0.7374301675977654,0.4665945553985351,0.8584400772065274,0.8476637543036694,0.2088376203493932,77,87,7,132
va_long_beach,hungary,1,33,source_only,0.7244897959183674,0.7722300281011643,0.5714285714285714,0.9433962264150944,0.601063829787234,0.7117437722419929,0.5326051676204456,0.8932155760738659,0.8314638042397343,0.21094487607479095,113,75,6,100
va_long_beach,hungary,1,33,pseudo_label_sfda,0.7040816326530612,0.7562725812926536,0.5524861878453039,0.9433962264150944,0.5691489361702128,0.6968641114982579,0.505924238973977,0.8963769570453632,0.8367380896299814,0.21206557608291188,107,81,6,100
va_long_beach,hungary,1,33,entropy_sfda,0.391156462585034,0.523936170212766,0.3719298245614035,1.0,0.047872340425531915,0.5421994884910486,0.1334359440923317,0.8961762344439984,0.8411828432617295,0.27939481618433026,9,179,0,106
va_long_beach,hungary,1,33,reliability_gated_sfda,0.7312925170068028,0.7775491770373344,0.5780346820809249,0.9433962264150944,0.6117021276595744,0.7168458781362007,0.5416092340448205,0.8939682858289845,0.8326096680451383,0.2109320828665082,115,73,6,100
va_long_beach,hungary,1,33,conservative_candidate,0.7346938775510204,0.7802087515054195,0.5813953488372093,0.9433962264150944,0.6170212765957447,0.7194244604316546,0.5461342445918841,0.8926635889201124,0.8316165376322108,0.21043421023344047,116,72,6,100
va_long_beach,switzerland,1,33,source_only,0.9512195121951219,0.741304347826087,0.9658119658119658,0.9826086956521739,0.5,0.9741379310344828,0.5524850114241865,0.716304347826087,0.9624510418148426,0.10313411056995392,4,4,2,113
va_long_beach,switzerland,1,33,pseudo_label_sfda,0.9512195121951219,0.741304347826087,0.9658119658119658,0.9826086956521739,0.5,0.9741379310344828,0.5524850114241865,0.716304347826087,0.9624510418148426,0.10313411497919366,4,4,2,113
va_long_beach,switzerland,1,33,entropy_sfda,0.959349593495935,0.6875,0.9583333333333334,1.0,0.375,0.9787234042553191,0.59947894041409,0.7271739130434782,0.963366533019427,0.08234656047450878,3,5,0,115
va_long_beach,switzerland,1,33,reliability_gated_sfda,0.9512195121951219,0.741304347826087,0.9658119658119658,0.9826086956521739,0.5,0.9741379310344828,0.5524850114241865,0.716304347826087,0.9624510418148426,0.10313411497919366,4,4,2,113
va_long_beach,switzerland,1,33,conservative_candidate,0.9512195121951219,0.741304347826087,0.9658119658119658,0.9826086956521739,0.5,0.9741379310344828,0.5524850114241865,0.716304347826087,0.9624510418148426,0.10313411497919366,4,4,2,113
va_long_beach,cleveland,2,33,source_only,0.5874587458745875,0.6134190208808563,0.5286885245901639,0.9280575539568345,0.29878048780487804,0.6736292428198434,0.2854462189232809,0.8426478329531497,0.8430572626197577,0.22104279696941376,49,115,10,129
va_long_beach,cleveland,2,33,pseudo_label_sfda,0.5808580858085809,0.6078698017195999,0.5241935483870968,0.935251798561151,0.2804878048780488,0.6718346253229974,0.27890224820764264,0.8422091595016669,0.842562556040303,0.22442897435512577,46,118,9,130
va_long_beach,cleveland,2,33,entropy_sfda,0.49174917491749176,0.5304878048780488,0.47440273037542663,1.0,0.06097560975609756,0.6435185185185185,0.17007938074498974,0.8419459554307772,0.8434546272572174,0.2711105813768426,10,154,0,139
va_long_beach,cleveland,2,33,reliability_gated_sfda,0.5907590759075908,0.6164678013686612,0.5308641975308642,0.9280575539568345,0.3048780487804878,0.675392670157068,0.2912637488038915,0.8427355676434461,0.8430800732141328,0.2210765370261507,50,114,10,129
va_long_beach,cleveland,2,33,conservative_candidate,0.5907590759075908,0.6164678013686612,0.5308641975308642,0.9280575539568345,0.3048780487804878,0.675392670157068,0.2912637488038915,0.8425600982628532,0.8427308727156307,0.2205586440649668,50,114,10,129
va_long_beach,hungary,2,33,source_only,0.6904761904761905,0.7456342834203131,0.5405405405405406,0.9433962264150944,0.5478723404255319,0.6872852233676976,0.4883730850886591,0.8753010839020474,0.8028059224071814,0.2165149599313736,103,85,6,100
va_long_beach,hungary,2,33,pseudo_label_sfda,0.6904761904761905,0.7456342834203131,0.5405405405405406,0.9433962264150944,0.5478723404255319,0.6872852233676976,0.4883730850886591,0.8753010839020474,0.8028059224071814,0.21651495914205063,103,85,6,100
va_long_beach,hungary,2,33,entropy_sfda,0.5136054421768708,0.6176234443998394,0.4251012145748988,0.9905660377358491,0.24468085106382978,0.5949008498583569,0.3082182428094174,0.8829787234042552,0.8111883759987919,0.26187502749980374,46,142,1,105
va_long_beach,hungary,2,33,reliability_gated_sfda,0.6938775510204082,0.7503512645523887,0.543010752688172,0.9528301886792453,0.5478723404255319,0.6917808219178082,0.4987045062542715,0.8758028904054597,0.8037345533641032,0.2161189482644537,103,85,5,101
va_long_beach,hungary,2,33,conservative_candidate,0.6938775510204082,0.7482938578883982,0.5434782608695652,0.9433962264150944,0.5531914893617021,0.6896551724137931,0.4927453961843063,0.8749498193496588,0.8024710342631802,0.21662135356741316,104,84,6,100
va_long_beach,switzerland,2,33,source_only,0.8617886178861789,0.6353260869565218,0.9537037037037037,0.8956521739130435,0.375,0.9237668161434978,0.20396137268094103,0.7184782608695652,0.9710060322161148,0.12017083913087845,3,5,12,103
va_long_beach,switzerland,2,33,pseudo_label_sfda,0.8617886178861789,0.6353260869565218,0.9537037037037037,0.8956521739130435,0.375,0.9237668161434978,0.20396137268094103,0.7184782608695652,0.9710060322161148,0.1201708354249621,3,5,12,103
va_long_beach,switzerland,2,33,entropy_sfda,0.9024390243902439,0.5989130434782608,0.9478260869565217,0.9478260869565217,0.25,0.9478260869565217,0.19782608695652174,0.7228260869565217,0.9703369594895417,0.09997263981676917,2,6,6,109
va_long_beach,switzerland,2,33,reliability_gated_sfda,0.8617886178861789,0.6353260869565218,0.9537037037037037,0.8956521739130435,0.375,0.9237668161434978,0.20396137268094103,0.7184782608695652,0.9712686005143778,0.11980318806447797,3,5,12,103
va_long_beach,switzerland,2,33,conservative_candidate,0.8617886178861789,0.6353260869565218,0.9537037037037037,0.8956521739130435,0.375,0.9237668161434978,0.20396137268094103,0.717391304347826,0.9708637304856241,0.1206084722559318,3,5,12,103
va_long_beach,cleveland,3,33,source_only,0.5676567656765676,0.5984163888401474,0.5152671755725191,0.9712230215827338,0.22560975609756098,0.6733167082294265,0.28673728671547283,0.8178627829443763,0.8153616964605177,0.23436331748962402,37,127,4,135
va_long_beach,cleveland,3,33,pseudo_label_sfda,0.5643564356435643,0.5953676083523425,0.5133079847908745,0.9712230215827338,0.21951219512195122,0.6716417910447762,0.28077105984211426,0.8179505176346726,0.8162392196340147,0.2379805902030548,36,128,4,135
va_long_beach,cleveland,3,33,entropy_sfda,0.45874587458745875,0.5,0.45874587458745875,1.0,0.0,0.6289592760180995,0.0,0.8187839971924898,0.8150849872221226,0.30035713418285637,0,164,0,139
