source,target,seed,method,fold,adapt_n,test_n,missingness_rate,selected_n,coverage,pseudo_positive_n,pseudo_negative_n,mean_selected_confidence,adaptation_skipped,entropy_before,entropy_after,mean_probability_before,mean_probability_after,positive_rate_before,positive_rate_after,confidence_before,confidence_after,selected_per_class,available_positive,available_negative,teacher_positive_rate,class_support_score,reliability_score,mean_abs_teacher_drift,reliability_mode,missingness_factor,teacher_drift
switzerland,hungary,0,entropy_sfda,3,235,59,0.002127659574468085,,,,,,,0.3106864392757416,0.1843208521604538,0.8961753249168396,0.9505774974822998,1.0,1.0,0.8961753249168396,0.9505774974822998,,,,,,,,,,
switzerland,hungary,0,entropy_sfda,4,235,59,0.001595744680851064,,,,,,,0.3077903687953949,0.18318438529968262,0.8969867825508118,0.9506685733795166,1.0,1.0,0.8969867825508118,0.9506685733795166,,,,,,,,,,
switzerland,hungary,0,entropy_sfda,5,236,58,0.00211864406779661,,,,,,,0.29651957750320435,0.1745365858078003,0.9029558897018433,0.9538981914520264,1.0,1.0,0.9029558897018433,0.9538981914520264,,,,,,,,,,
switzerland,hungary,0,reliability_gated_sfda,1,235,59,0.0005319148936170213,0.0,0.0,,,0.0,True,0.31416425108909607,0.31416425108909607,0.8941395878791809,0.8941395878791809,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,hungary,0,reliability_gated_sfda,2,235,59,0.002127659574468085,0.0,0.0,,,0.0,True,0.30603960156440735,0.30603960156440735,0.8978756070137024,0.8978756070137024,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,hungary,0,reliability_gated_sfda,3,235,59,0.002127659574468085,0.0,0.0,,,0.0,True,0.3106864392757416,0.3106864392757416,0.8961753249168396,0.8961753249168396,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,hungary,0,reliability_gated_sfda,4,235,59,0.001595744680851064,0.0,0.0,,,0.0,True,0.3077903687953949,0.3077903687953949,0.8969867825508118,0.8969867825508118,1.0,1.0,,,0.0,235.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,hungary,0,reliability_gated_sfda,5,236,58,0.00211864406779661,0.0,0.0,,,0.0,True,0.29651957750320435,0.29651957750320435,0.9029558897018433,0.9029558897018433,1.0,1.0,,,0.0,236.0,0.0,1.0,0.0,0.0,0.0,,,
switzerland,hungary,0,conservative_candidate,1,235,59,0.0005319148936170213,0.0,,,,0.0,True,0.31416425108909607,0.31416425108909607,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.999468085106383,0.0
switzerland,hungary,0,conservative_candidate,2,235,59,0.002127659574468085,0.0,,,,0.0,True,0.30603960156440735,0.30603960156440735,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.997872340425532,0.0
switzerland,hungary,0,conservative_candidate,3,235,59,0.002127659574468085,0.0,,,,0.0,True,0.3106864392757416,0.3106864392757416,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.997872340425532,0.0
switzerland,hungary,0,conservative_candidate,4,235,59,0.001595744680851064,0.0,,,,0.0,True,0.3077903687953949,0.3077903687953949,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.9984042553191489,0.0
switzerland,hungary,0,conservative_candidate,5,236,58,0.00211864406779661,0.0,,,,0.0,True,0.29651957750320435,0.29651957750320435,,,1.0,1.0,,,0.0,,,1.0,0.0,0.0,,full,0.9978813559322034,0.0
switzerland,va_long_beach,0,pseudo_label_sfda,1,160,40,0.13984375,123.0,0.76875,123.0,0.0,0.9572650790214539,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,0,pseudo_label_sfda,2,160,40,0.13828125000000002,128.0,0.8,128.0,0.0,0.9561032056808472,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,0,pseudo_label_sfda,3,160,40,0.12578125,130.0,0.8125,130.0,0.0,0.9566496014595032,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,0,pseudo_label_sfda,4,160,40,0.1328125,129.0,0.80625,129.0,0.0,0.9563474059104919,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,0,pseudo_label_sfda,5,160,40,0.14765625,126.0,0.7875,126.0,0.0,0.9567701816558838,False,,,,,,,,,,,,,,,,,,
switzerland,va_long_beach,0,entropy_sfda,1,160,40,0.13984375,,,,,,,0.22924093902111053,0.1653665155172348,0.9326567649841309,0.9564483761787415,1.0,1.0,0.9326567649841309,0.9564483761787415,,,,,,,,,,
switzerland,va_long_beach,0,entropy_sfda,2,160,40,0.13828125000000002,,,,,,,0.22671881318092346,0.16319118440151215,0.9335061311721802,0.9570968747138977,1.0,1.0,0.9335061311721802,0.9570968747138977,,,,,,,,,,
switzerland,va_long_beach,0,entropy_sfda,3,160,40,0.12578125,,,,,,,0.21806195378303528,0.15505771338939667,0.9378126859664917,0.9604131579399109,1.0,1.0,0.9378126859664917,0.9604131579399109,,,,,,,,,,
switzerland,va_long_beach,0,entropy_sfda,4,160,40,0.1328125,,,,,,,0.2214016616344452,0.1581253856420517,0.9360302090644836,0.9591283798217773,1.0,1.0,0.9360302090644836,0.9591283798217773,,,,,,,,,,
