source,target,seed,source_epochs,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp,source_roc_auc,source_pr_auc,source_balanced_accuracy,source_brier,delta_roc_auc,delta_pr_auc,delta_balanced_accuracy,brier_improvement,negative_adaptation_auc,brier_worsened
cleveland,va_long_beach,1,34,entropy_sfda,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7291090933017503,0.8872080850225198,0.1773326014253746,23,28,20,129,0.7298986708777471,0.8869484968082141,0.6516646927227266,0.17564663290977478,-0.0007895775759967361,0.0002595882143057171,0.006711409395973145,-0.0016859685155998227,True,True
cleveland,va_long_beach,1,34,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7310830372417424,0.887323182618124,0.1766679375014211,23,28,22,127,0.7298986708777471,0.8869484968082141,0.6516646927227266,0.17564663290977478,0.0011843663639953261,0.00037468580990995815,0.0,-0.001021304591646316,False,True
cleveland,va_long_beach,1,34,conservative_candidate,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7288459007764181,0.8865384485272351,0.17558216318831568,23,28,22,127,0.7298986708777471,0.8869484968082141,0.6516646927227266,0.17564663290977478,-0.0010527701013289814,-0.000410048280979014,0.0,6.446972145909835e-05,True,False
cleveland,hungary,2,34,pseudo_label_sfda,0.8197278911564626,0.8076073865917303,0.7431192660550459,0.7641509433962265,0.851063829787234,0.7534883720930232,0.611588766413377,0.876756322761943,0.8292594733384401,0.13888117261079658,160,28,25,81,0.8765054195102369,0.829643943359995,0.7984243275792855,0.1385558545589447,0.00025090325170618044,-0.00038447002155495014,0.00918305901244476,-0.000325318051851875,False,True
cleveland,hungary,2,34,entropy_sfda,0.8163265306122449,0.7967181854676837,0.7549019607843137,0.7264150943396226,0.8670212765957447,0.7403846153846154,0.5986256438652958,0.8753010839020474,0.8272319429515738,0.13711732597554996,163,25,29,77,0.8765054195102369,0.829643943359995,0.7984243275792855,0.1385558545589447,-0.001204335608189444,-0.0024120004084212665,-0.001706142111601805,0.0014385285833947437,True,False
cleveland,hungary,2,34,reliability_gated_sfda,0.7993197278911565,0.79370734644721,0.7008547008547008,0.7735849056603774,0.8138297872340425,0.7354260089686099,0.5762316365683036,0.8761541549578483,0.8290801398898017,0.1386898366215516,153,35,24,82,0.8765054195102369,0.829643943359995,0.7984243275792855,0.1385558545589447,-0.0003512645523885416,-0.0005638034701933581,-0.004716981132075526,-0.0001339820626068966,True,True
cleveland,hungary,2,34,conservative_candidate,0.8027210884353742,0.796366920915295,0.7068965517241379,0.7735849056603774,0.8191489361702128,0.7387387387387387,0.5823077701655898,0.875853071055801,0.8288326283718381,0.13840407612556038,154,34,24,82,0.8765054195102369,0.829643943359995,0.7984243275792855,0.1385558545589447,-0.0006523484544358471,-0.0008113149881568971,-0.0020574066639904576,0.00015177843338431973,True,False
cleveland,switzerland,2,34,pseudo_label_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7445652173913043,0.9762538801923899,0.151510770471144,4,4,24,91,0.7478260869565218,0.9770384769176663,0.6413043478260869,0.1554579734802246,-0.003260869565217428,-0.0007845967252764208,0.004347826086956497,0.003947203009080608,True,False
cleveland,switzerland,2,34,entropy_sfda,0.7886178861788617,0.6543478260869565,0.9587628865979382,0.808695652173913,0.5,0.8773584905660378,0.1864454911778977,0.7510869565217391,0.9776712697241452,0.14483272976509798,4,4,22,93,0.7478260869565218,0.9770384769176663,0.6413043478260869,0.1554579734802246,0.003260869565217317,0.0006327928064788768,0.013043478260869601,0.010625243715126631,False,False
cleveland,switzerland,2,34,reliability_gated_sfda,0.7642276422764228,0.6413043478260869,0.9574468085106383,0.782608695652174,0.5,0.861244019138756,0.16417858509099698,0.75,0.977463478345049,0.15879134640979725,4,4,25,90,0.7478260869565218,0.9770384769176663,0.6413043478260869,0.1554579734802246,0.0021739130434782483,0.0004250014273826652,0.0,-0.003333372929572642,False,True
cleveland,switzerland,2,34,conservative_candidate,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7478260869565218,0.9770384769176663,0.15344638497959337,4,4,24,91,0.7478260869565218,0.9770384769176663,0.6413043478260869,0.1554579734802246,0.0,0.0,0.004347826086956497,0.0020115885006312395,False,False
cleveland,va_long_beach,2,34,pseudo_label_sfda,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7141071193578102,0.878775494841804,0.17972614644344864,23,28,20,129,0.7131859455191472,0.8797158234462253,0.6550203974207133,0.17956161499023438,0.0009211738386630808,-0.0009403286044213921,0.003355704697986517,-0.0001645314532142672,False,True
cleveland,va_long_beach,2,34,entropy_sfda,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7134491380444795,0.8785363008707117,0.17998018782628122,23,28,20,129,0.7131859455191472,0.8797158234462253,0.6550203974207133,0.17956161499023438,0.0002631925253323564,-0.0011795225755136807,0.003355704697986517,-0.0004185728360468488,False,True
