seed,target,method,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,mcc,roc_auc,pr_auc,brier,tn,fp,fn,tp
3,va_long_beach,source_only,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7260823792604291,0.881728901329025,0.17928633093833923,23,28,21,128
3,va_long_beach,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.727003553099092,0.8817858100313438,0.17865515710898328,23,28,21,128
3,va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7280563232004211,0.8822512209829414,0.17858818408436142,23,28,21,128
3,va_long_beach,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7264771680484273,0.8817993982157292,0.18004848869476808,23,28,21,128
4,hungary,source_only,0.8231292517006803,0.8102669610598154,0.75,0.7641509433962265,0.8563829787234043,0.7570093457943925,0.618057719416749,0.8840325170614212,0.8423375248997769,0.13515280187129974,161,27,25,81
4,hungary,pseudo_label_sfda,0.826530612244898,0.8129265355279005,0.7570093457943925,0.7641509433962265,0.8617021276595744,0.7605633802816901,0.6245850039971734,0.8824267362505018,0.8397434482910425,0.13723325544230414,162,26,25,81
4,hungary,entropy_sfda,0.8163265306122449,0.7967181854676837,0.7549019607843137,0.7264150943396226,0.8670212765957447,0.7403846153846154,0.5986256438652958,0.8808711360899237,0.8372316612339565,0.13524511562086408,163,25,29,77
4,hungary,reliability_gated_sfda,0.8231292517006803,0.8102669610598154,0.75,0.7641509433962265,0.8563829787234043,0.7570093457943925,0.618057719416749,0.8837816138097149,0.8419768185113902,0.13546512503731484,161,27,25,81
4,switzerland,source_only,0.7398373983739838,0.6864130434782609,0.9662921348314607,0.7478260869565218,0.625,0.8431372549019608,0.20557284416589586,0.7815217391304348,0.9818825739778152,0.1572275310754776,5,3,29,86
4,switzerland,pseudo_label_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7782608695652173,0.9815901431323341,0.14586945435108867,4,4,26,89
4,switzerland,entropy_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7793478260869565,0.9816942735786662,0.14447466115121474,4,4,26,89
4,switzerland,reliability_gated_sfda,0.7398373983739838,0.6864130434782609,0.9662921348314607,0.7478260869565218,0.625,0.8431372549019608,0.20557284416589586,0.7782608695652175,0.9815129762793642,0.15962360779617846,5,3,29,86
4,va_long_beach,source_only,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.734504540071062,0.8830031965365452,0.17922310531139374,23,28,22,127
4,va_long_beach,pseudo_label_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7343729438083959,0.8824500907869721,0.1741934356727409,23,28,22,127
4,va_long_beach,entropy_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.734504540071062,0.8821274095223465,0.17673315037332432,23,28,22,127
4,va_long_beach,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7342413475457298,0.883141054977482,0.18039278650492677,23,28,22,127
5,hungary,source_only,0.7959183673469388,0.7951625853071056,0.6885245901639344,0.7924528301886793,0.7978723404255319,0.7368421052631579,0.5752796609400899,0.8781112003211561,0.8380978577405813,0.14037412405014038,150,38,22,84
5,hungary,pseudo_label_sfda,0.8129251700680272,0.8043456443195505,0.7256637168141593,0.7735849056603774,0.8351063829787234,0.7488584474885844,0.600828374657758,0.8766559614612605,0.8371547160989912,0.13883734840909423,157,31,24,82
5,hungary,entropy_sfda,0.8231292517006803,0.8102669610598154,0.75,0.7641509433962265,0.8563829787234043,0.7570093457943925,0.618057719416749,0.8748494580489764,0.8347155428782068,0.13670287446035564,161,27,25,81
5,hungary,reliability_gated_sfda,0.7959183673469388,0.7951625853071056,0.6885245901639344,0.7924528301886793,0.7978723404255319,0.7368421052631579,0.5752796609400899,0.8778101164191089,0.8378610707026583,0.14038828944077575,150,38,22,84
5,switzerland,source_only,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.7684782608695653,0.9802960382961952,0.1514216810464859,4,4,23,92
5,switzerland,pseudo_label_sfda,0.7723577235772358,0.5875,0.9484536082474226,0.8,0.375,0.8679245283018868,0.10569621154803355,0.7673913043478261,0.9801874512310864,0.15005826605916273,3,5,23,92
5,switzerland,entropy_sfda,0.7723577235772358,0.5875,0.9484536082474226,0.8,0.375,0.8679245283018868,0.10569621154803355,0.7684782608695653,0.9804819547405317,0.14738498237127667,3,5,23,92
5,switzerland,reliability_gated_sfda,0.7804878048780488,0.65,0.9583333333333334,0.8,0.5,0.8720379146919431,0.17873008824606015,0.767391304347826,0.9801579021548926,0.15369731686124838,4,4,23,92
5,va_long_beach,source_only,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7273983418870904,0.8809225845494941,0.1751755177974701,23,28,20,129
5,va_long_beach,pseudo_label_sfda,0.755,0.6485721805500724,0.8164556962025317,0.8657718120805369,0.43137254901960786,0.8403908794788274,0.3179746710118314,0.7281879194630873,0.8813798351371405,0.1750618667065561,22,29,20,129
5,va_long_beach,entropy_sfda,0.755,0.6485721805500724,0.8164556962025317,0.8657718120805369,0.43137254901960786,0.8403908794788274,0.3179746710118314,0.7321358073430715,0.8820859832271054,0.17484023450387148,22,29,20,129
5,va_long_beach,reliability_gated_sfda,0.76,0.6583761021186998,0.821656050955414,0.8657718120805369,0.45098039215686275,0.8431372549019608,0.3360576716027745,0.7295038820897487,0.8819288521081183,0.17567945027987927,23,28,20,129
6,hungary,source_only,0.8197278911564626,0.8076073865917303,0.7431192660550459,0.7641509433962265,0.851063829787234,0.7534883720930232,0.611588766413377,0.8808209554395825,0.84624837488345,0.13335499167442322,160,28,25,81
6,hungary,pseudo_label_sfda,0.8163265306122449,0.8008329987956644,0.7452830188679245,0.7452830188679245,0.8563829787234043,0.7452830188679245,0.6016659975913288,0.879616619831393,0.84377784414651,0.13168053778795238,161,27,27,79
6,hungary,entropy_sfda,0.8163265306122449,0.7987755921316739,0.75,0.7358490566037735,0.8617021276595744,0.7428571428571429,0.6000860052313263,0.8797671617824168,0.8435227931524782,0.1307036254534151,162,26,28,78
6,hungary,reliability_gated_sfda,0.8197278911564626,0.8076073865917303,0.7431192660550459,0.7641509433962265,0.851063829787234,0.7534883720930232,0.611588766413377,0.8810718586912888,0.8463861468476548,0.13319959306638987,160,28,25,81
6,switzerland,source_only,0.7479674796747967,0.6907608695652174,0.9666666666666667,0.7565217391304347,0.625,0.848780487804878,0.2123415475273836,0.741304347826087,0.9766406396246193,0.16317924857139587,5,3,28,87
6,switzerland,pseudo_label_sfda,0.7560975609756098,0.6951086956521739,0.967032967032967,0.7652173913043478,0.625,0.8543689320388349,0.21933343973927985,0.7402173913043478,0.9764735467004932,0.16307981983383596,5,3,27,88
6,switzerland,entropy_sfda,0.7723577235772358,0.7038043478260869,0.967741935483871,0.782608695652174,0.625,0.8653846153846154,0.23406433946035568,0.7391304347826086,0.976185267965012,0.1575799121792913,5,3,25,90
6,switzerland,reliability_gated_sfda,0.7479674796747967,0.6907608695652174,0.9666666666666667,0.7565217391304347,0.625,0.848780487804878,0.2123415475273836,0.7434782608695653,0.9769460285323893,0.1662149667030978,5,3,28,87
6,va_long_beach,source_only,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7329253849190683,0.8844330635676488,0.17907413840293884,23,28,21,128
6,va_long_beach,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7327937886564023,0.8843904112542176,0.17875137293719753,23,28,21,128
6,va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7343729438083958,0.8844036459641496,0.1793538789018147,23,28,21,128
6,va_long_beach,reliability_gated_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7327937886564021,0.8843752747114729,0.1802315107274132,23,28,21,128
7,hungary,source_only,0.8095238095238095,0.8016860698514653,0.7192982456140351,0.7735849056603774,0.8297872340425532,0.7454545454545455,0.5946048292047812,0.8768065034122843,0.8355029876416431,0.13462598621845245,156,32,24,82
7,hungary,pseudo_label_sfda,0.8197278911564626,0.7993777599357688,0.7623762376237624,0.7264150943396226,0.8723404255319149,0.7439613526570048,0.6053994834033661,0.8761541549578482,0.8342940287901299,0.13262148241763602,164,24,29,77
7,hungary,entropy_sfda,0.8163265306122449,0.7884885588117222,0.776595744680851,0.6886792452830188,0.8882978723404256,0.73,0.5940343002863735,0.8753010839020473,0.8327577996037934,0.13240622621193002,167,21,33,73
7,hungary,reliability_gated_sfda,0.8095238095238095,0.8016860698514653,0.7192982456140351,0.7735849056603774,0.8297872340425532,0.7454545454545455,0.5946048292047812,0.8764050582095544,0.8352706709136871,0.13473535886425253,156,32,24,82
7,switzerland,source_only,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7195652173913043,0.9719291696015162,0.16971521079540253,4,4,26,89
7,switzerland,pseudo_label_sfda,0.7642276422764228,0.6413043478260869,0.9574468085106383,0.782608695652174,0.5,0.861244019138756,0.16417858509099698,0.717391304347826,0.9715977867298223,0.17180398645550685,4,4,25,90
7,switzerland,entropy_sfda,0.7723577235772358,0.6456521739130434,0.9578947368421052,0.7913043478260869,0.5,0.8666666666666667,0.1713168427447863,0.7195652173913043,0.9725675287434258,0.16355054900582067,4,4,24,91
7,switzerland,reliability_gated_sfda,0.7560975609756098,0.6369565217391304,0.956989247311828,0.7739130434782608,0.5,0.8557692307692307,0.157291236117359,0.7184782608695652,0.9720074827874732,0.17302682200941016,4,4,26,89
7,va_long_beach,source_only,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7312146335044085,0.8873999065832696,0.18247690796852112,23,28,22,127
7,va_long_beach,pseudo_label_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7312146335044085,0.8874458070245227,0.1828254013347513,23,28,21,128
7,va_long_beach,entropy_sfda,0.755,0.6550203974207133,0.8205128205128205,0.8590604026845637,0.45098039215686275,0.839344262295082,0.3262183798157361,0.7310830372417424,0.8865684402276433,0.18236232081772066,23,28,21,128
7,va_long_beach,reliability_gated_sfda,0.75,0.6516646927227266,0.8193548387096774,0.8523489932885906,0.45098039215686275,0.8355263157894737,0.3166070647818646,0.7310830372417424,0.8872438087091036,0.18345092138764407,23,28,22,127
8,hungary,source_only,0.8095238095238095,0.8016860698514653,0.7192982456140351,0.7735849056603774,0.8297872340425532,0.7454545454545455,0.5946048292047812,0.875451625853071,0.8331041413551281,0.13970597088336945,156,32,24,82
8,hungary,pseudo_label_sfda,0.8095238095238095,0.7955138498594941,0.7314814814814815,0.7452830188679245,0.8457446808510638,0.7383177570093458,0.5886692397938273,0.875,0.8328119404807995,0.13960389024898687,159,29,27,79
8,hungary,entropy_sfda,0.8163265306122449,0.7987755921316739,0.75,0.7358490566037735,0.8617021276595744,0.7428571428571429,0.6000860052313263,0.874347651545564,0.8304007653753424,0.1384853963817419,162,26,28,78
