seed,target,variant,source_roc_auc,roc_auc,delta_roc_auc,source_brier,brier,brier_improvement,delta_balanced_accuracy,negative_adaptation_auc,brier_worsened
3,switzerland,no_entropy,0.7576086956521739,0.7576086956521739,0.0,0.16727250814437866,0.1705251404592281,-0.0032526323148494296,0.0,False,True
3,switzerland,no_anchor,0.7576086956521739,0.7597826086956521,0.0021739130434781373,0.16727250814437866,0.1712860436918889,-0.004013535547510244,0.0,False,True
3,switzerland,no_prior,0.7576086956521739,0.7597826086956521,0.0021739130434781373,0.16727250814437866,0.17036478170912,-0.0030922735647413435,0.0,False,True
3,va_long_beach,no_pseudo,0.7260823792604291,0.727003553099092,0.0009211738386629698,0.17928633093833923,0.1786809732567754,0.000605357681563834,0.0,False,False
3,va_long_beach,no_entropy,0.7260823792604291,0.7263455717857613,0.00026319252533224535,0.17928633093833923,0.1800640600475642,-0.0007777291092249672,0.0,False,True
3,va_long_beach,no_anchor,0.7260823792604291,0.7275299381497565,0.0014475588893274605,0.17928633093833923,0.18030125757991627,-0.0010149266415770408,-0.003355704697986628,False,True
3,va_long_beach,no_prior,0.7260823792604291,0.7267403605737598,0.0006579813133307244,0.17928633093833923,0.18010894191750915,-0.0008226109791699132,0.0,False,True
4,hungary,no_pseudo,0.8840325170614212,0.8838819751103975,-0.00015054195102370826,0.13515280187129974,0.13502236939374293,0.0001304324775568133,0.0,True,False
4,hungary,no_entropy,0.8840325170614212,0.8837314331593737,-0.00030108390204741653,0.13515280187129974,0.13553635258893298,-0.0003835507176332409,0.0,True,True
4,hungary,no_anchor,0.8840325170614212,0.8836812525090324,-0.00035126455238876364,0.13515280187129974,0.1356175132911168,-0.0004647114198170488,0.0,True,True
4,hungary,no_prior,0.8840325170614212,0.88358089120835,-0.0004516258530711248,0.13515280187129974,0.13552410539175425,-0.0003713035204545023,0.0,True,True
4,switzerland,no_pseudo,0.7815217391304348,0.7815217391304348,0.0,0.1572275310754776,0.1552495563077414,0.0019779747677362014,0.0,False,False
4,switzerland,no_entropy,0.7815217391304348,0.7760869565217392,-0.005434782608695565,0.1572275310754776,0.1602101060327217,-0.002982574957244105,0.0,True,True
4,switzerland,no_anchor,0.7815217391304348,0.7771739130434783,-0.004347826086956497,0.1572275310754776,0.16191844340856154,-0.004690912333083941,0.0,True,True
4,switzerland,no_prior,0.7815217391304348,0.7782608695652175,-0.003260869565217317,0.1572275310754776,0.16019405831728073,-0.0029665272418031297,0.0,True,True
4,va_long_beach,no_pseudo,0.734504540071062,0.7341097512830637,-0.00039478878799836803,0.17922310531139374,0.17860461305243758,0.0006184922589561603,0.0,True,False
4,va_long_beach,no_entropy,0.734504540071062,0.734636136333728,0.00013159626266601165,0.17922310531139374,0.18033243091110868,-0.0011093255997149387,0.0,False,True
4,va_long_beach,no_anchor,0.734504540071062,0.7348993288590605,0.00039478878799847905,0.17922310531139374,0.18082701030569745,-0.001603904994303712,0.0,False,True
4,va_long_beach,no_prior,0.734504540071062,0.7347677325963944,0.0002631925253323564,0.17922310531139374,0.18042770170691674,-0.0012045963955230055,0.0,False,True
5,hungary,no_pseudo,0.8781112003211561,0.878061019670815,-5.0180650341125066e-05,0.14037412405014038,0.140251003785918,0.00012312026422237055,0.0,True,False
5,hungary,no_entropy,0.8781112003211561,0.8778101164191088,-0.0003010839020473055,0.14037412405014038,0.1405030598647859,-0.0001289358146455144,0.0,True,True
5,hungary,no_anchor,0.8781112003211561,0.8777599357687677,-0.0003512645523884306,0.14037412405014038,0.14042845167526558,-5.432762512519451e-05,0.0026595744680850686,True,True
5,hungary,no_prior,0.8781112003211561,0.8778101164191089,-0.0003010839020471945,0.14037412405014038,0.14037892357496165,-4.799524821269552e-06,0.0,True,True
5,switzerland,no_pseudo,0.7684782608695653,0.7684782608695653,0.0,0.1514216810464859,0.15006110484763327,0.001360576198852631,-0.0625,False,False
5,switzerland,no_entropy,0.7684782608695653,0.7663043478260869,-0.0021739130434783593,0.1514216810464859,0.154229295429725,-0.002807614383239093,0.0,True,True
5,switzerland,no_anchor,0.7684782608695653,0.767391304347826,-0.0010869565217392907,0.1514216810464859,0.15550721443314977,-0.00408553338666387,0.0,True,True
5,switzerland,no_prior,0.7684782608695653,0.7663043478260869,-0.0021739130434783593,0.1514216810464859,0.15435238104071036,-0.0029306999942244616,0.0,True,True
5,va_long_beach,no_pseudo,0.7273983418870904,0.727924726937755,0.0005263850506646017,0.1751755177974701,0.1746396875192508,0.0005358302782192959,0.0,False,False
5,va_long_beach,no_entropy,0.7273983418870904,0.7295038820897487,0.002105540202658296,0.1751755177974701,0.1758161680964967,-0.0006406502990266016,0.0,False,True
5,va_long_beach,no_anchor,0.7273983418870904,0.7289774970390841,0.0015791551519936942,0.1751755177974701,0.1761409611631063,-0.0009654433656361983,-0.003355704697986517,False,True
5,va_long_beach,no_prior,0.7273983418870904,0.7289774970390841,0.0015791551519936942,0.1751755177974701,0.1759734478322418,-0.0007979300347717155,0.0,False,True
6,hungary,no_pseudo,0.8808209554395825,0.8806704134885588,-0.00015054195102370826,0.13335499167442322,0.13300874225941914,0.0003462494150040796,0.0,True,False
6,hungary,no_entropy,0.8808209554395825,0.880921316740265,0.00010036130068247218,0.13335499167442322,0.13329257618843549,6.241548598773239e-05,0.004716981132075415,False,False
6,hungary,no_anchor,0.8808209554395825,0.8810216780409474,0.00020072260136494435,0.13335499167442322,0.1332010209222909,0.00015397075213230416,0.0,False,False
6,hungary,no_prior,0.8808209554395825,0.8809714973906063,0.0001505419510238193,0.13335499167442322,0.13318749357452692,0.0001674980998963016,0.0,False,False
6,switzerland,no_pseudo,0.741304347826087,0.741304347826087,0.0,0.16317924857139587,0.16223136503827143,0.000947883533124444,0.004347826086956497,False,False
6,switzerland,no_entropy,0.741304347826087,0.7434782608695653,0.0021739130434782483,0.16317924857139587,0.16650308377143616,-0.003323835200040287,0.0,False,True
6,switzerland,no_anchor,0.741304347826087,0.7434782608695653,0.0021739130434782483,0.16317924857139587,0.16644731239151864,-0.003268063820122763,0.0,False,True
6,switzerland,no_prior,0.741304347826087,0.7434782608695653,0.0021739130434782483,0.16317924857139587,0.16625221528113526,-0.0030729667097393887,0.0,False,True
6,va_long_beach,no_pseudo,0.7329253849190683,0.7330569811817346,0.0001315962626662337,0.17907413840293884,0.17853817524542534,0.0005359631575135027,0.0,False,False
6,va_long_beach,no_entropy,0.7329253849190683,0.7325305961310699,-0.00039478878799847905,0.17907413840293884,0.18032027160105524,-0.0012461331981163948,0.0,True,True
6,va_long_beach,no_anchor,0.7329253849190683,0.7330569811817343,0.00013159626266601165,0.17907413840293884,0.1803455323572021,-0.0012713939542632613,0.0,False,True
6,va_long_beach,no_prior,0.7329253849190683,0.7330569811817346,0.0001315962626662337,0.17907413840293884,0.18030418985865274,-0.001230051455713893,0.0,False,True
7,hungary,no_pseudo,0.8768065034122843,0.876756322761943,-5.018065034123609e-05,0.13462598621845245,0.1343753720109009,0.0002506142075515416,-0.004716981132075415,True,False
7,hungary,no_entropy,0.8768065034122843,0.8764050582095544,-0.0004014452027298887,0.13462598621845245,0.13485696113175455,-0.00023097491330209552,0.004716981132075415,True,True
7,hungary,no_anchor,0.8768065034122843,0.8763046969088719,-0.0005018065034123609,0.13462598621845245,0.1346818479984713,-5.586178001884545e-05,-0.004716981132075415,True,True
7,hungary,no_prior,0.8768065034122843,0.8763548775592132,-0.0004516258530711248,0.13462598621845245,0.13475672204129677,-0.0001307358228443134,0.0,True,True
