source,target,method,metric,observed,ci_lower,ci_upper,ci_contains_zero,bootstrap_positive_fraction,n_source_seeds,n_target_patients,positive_n,negative_n
switzerland,hungary,entropy_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,hungary,reliability_gated_sfda,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,hungary,reliability_gated_sfda,brier_improvement,-3.7265667218733255e-10,-2.3797826240179454e-09,1.5899462077473272e-09,True,0.3576,10,294,106,188
switzerland,hungary,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,hungary,conservative_candidate,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,hungary,conservative_candidate,brier_improvement,-3.7265667218733255e-10,-2.3797826240179454e-09,1.5899462077473272e-09,True,0.3576,10,294,106,188
switzerland,hungary,conservative_candidate,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,294,106,188
switzerland,va_long_beach,pseudo_label_sfda,delta_roc_auc,0.012462166074483494,0.004815107250954019,0.020779707856296858,False,0.9996,10,200,149,51
switzerland,va_long_beach,pseudo_label_sfda,brier_improvement,-0.017539220640653486,-0.019894842262321473,-0.015094773333927131,False,0.0,10,200,149,51
switzerland,va_long_beach,pseudo_label_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,200,149,51
switzerland,va_long_beach,entropy_sfda,delta_roc_auc,0.009586787735228353,0.0036320568495854626,0.016318265561258084,False,0.9996,10,200,149,51
switzerland,va_long_beach,entropy_sfda,brier_improvement,-0.01062729474249774,-0.012276887032330281,-0.009048577232412841,False,0.0,10,200,149,51
switzerland,va_long_beach,entropy_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,200,149,51
switzerland,va_long_beach,reliability_gated_sfda,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,200,149,51
switzerland,va_long_beach,reliability_gated_sfda,brier_improvement,5.384016732445929e-10,-1.0287533736691446e-09,2.091615934340929e-09,True,0.758,10,200,149,51
switzerland,va_long_beach,reliability_gated_sfda,delta_balanced_accuracy,0.0,0.0,0.0,True,0.0,10,200,149,51
switzerland,va_long_beach,conservative_candidate,delta_roc_auc,0.0,0.0,0.0,True,0.0,10,200,149,51
