seed,target,variant,fold,reliability_mode,selected_per_class,selected_n,teacher_positive_rate,mean_selected_confidence,class_support_score,missingness_rate,missingness_factor,reliability_score,adaptation_skipped,entropy_before,entropy_after,positive_rate_before,positive_rate_after,teacher_drift
8,switzerland,no_missingness_factor,3,no_missingness,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.35288871186120174,False,0.47454261779785156,0.4738011658191681,0.7857142857142857,0.7857142857142857,0.003452340606600046
8,switzerland,no_missingness_factor,4,no_missingness,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.3913064111362805,False,0.45721450448036194,0.45720919966697693,0.7676767676767676,0.7676767676767676,0.0029088789597153664
8,switzerland,no_missingness_factor,5,no_missingness,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.37489721510145396,False,0.4429100751876831,0.44163697957992554,0.7777777777777778,0.7777777777777778,0.0028270361945033073
8,switzerland,no_class_support_factor,1,no_class_support,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.8264762222462771,False,0.4406750202178955,0.43840599060058594,0.7959183673469388,0.7959183673469388,0.004170098342001438
8,switzerland,no_class_support_factor,2,no_class_support,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.8267340149198259,False,0.4525011479854584,0.4497781991958618,0.7755102040816326,0.7755102040816326,0.004747992381453514
8,switzerland,no_class_support_factor,3,no_class_support,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.813954618132236,False,0.47454261779785156,0.4726555347442627,0.7857142857142857,0.7857142857142857,0.004282452631741762
8,switzerland,no_class_support_factor,4,no_class_support,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.8304627910256386,False,0.45721450448036194,0.4561960995197296,0.7676767676767676,0.7676767676767676,0.003446318907663226
8,switzerland,no_class_support_factor,5,no_class_support,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.8349983427259657,False,0.4429100751876831,0.4404991865158081,0.7777777777777778,0.7777777777777778,0.003521119011566043
8,switzerland,no_confidence_factor,1,no_confidence,20,40,0.7959183673469388,0.8371542096138,0.40816326530612246,0.012755102040816325,0.9872448979591837,0.40295710120783007,False,0.4406750202178955,0.4396235942840576,0.7959183673469388,0.7959183673469388,0.0033081306610256433
8,switzerland,no_confidence_factor,2,no_confidence,20,40,0.7755102040816326,0.8331098556518555,0.44897959183673475,0.007653061224489795,0.9923469387755102,0.4455435235318618,False,0.4525011479854584,0.4507857859134674,0.7755102040816326,0.7755102040816326,0.00409718556329608
8,switzerland,no_confidence_factor,3,no_confidence,20,40,0.7857142857142857,0.823406994342804,0.4285714285714286,0.011479591836734693,0.9885204081632653,0.4236516034985423,False,0.47454261779785156,0.4736264944076538,0.7857142857142857,0.7857142857142857,0.0035590536426752806
8,switzerland,no_confidence_factor,4,no_confidence,20,40,0.7676767676767676,0.8421594500541687,0.46464646464646475,0.01388888888888889,0.9861111111111112,0.45819304152637497,False,0.45721450448036194,0.45705917477607727,0.7676767676767676,0.7676767676767676,0.0029647741466760635
8,switzerland,no_confidence_factor,5,no_confidence,20,40,0.7777777777777778,0.8435187339782715,0.4444444444444444,0.0101010101010101,0.98989898989899,0.4399551066217733,False,0.4429100751876831,0.44147416949272156,0.7777777777777778,0.7777777777777778,0.0029277699068188667
8,va_long_beach,candidate_full,1,full,32,64,0.7625,0.8533264994621277,0.4750000000000001,0.13984375,0.86015625,0.3486472078564112,False,0.45081034302711487,0.4491812586784363,0.7625,0.7625,0.004217211157083511
8,va_long_beach,candidate_full,2,full,32,64,0.79375,0.835905134677887,0.4125000000000001,0.13828125000000002,0.86171875,0.29712999020644937,False,0.45488160848617554,0.45302754640579224,0.79375,0.79375,0.004321707878261805
