seed,target,method,roc_auc,pr_auc,balanced_accuracy,brier,source_roc_auc,source_brier,delta_roc_auc,brier_improvement,negative_adaptation
5,switzerland,conservative_candidate,0.7684782608695653,,,0.1496755121485247,0.7684782608695653,0.1514216810464859,0.0,0.0017461688979611978,False
5,va_long_beach,conservative_candidate,0.7285827082510856,,,0.1745581874285426,0.7273983418870904,0.1751755177974701,0.0011843663639952151,0.0006173303689274989,False
6,hungary,conservative_candidate,0.8807205941389001,,,0.13308373427237,0.8808209554395825,0.1333549916744232,-0.00010036130068236115,0.00027125740205319326,True
6,switzerland,conservative_candidate,0.7391304347826086,,,0.1620300526709382,0.741304347826087,0.1631792485713958,-0.0021739130434783593,0.0011491959004575891,True
6,va_long_beach,conservative_candidate,0.7337149624950651,,,0.1785278093644438,0.7329253849190683,0.1790741384029388,0.0007895775759967361,0.000546329038494997,False
7,hungary,conservative_candidate,0.8766559614612606,,,0.1343677423680306,0.8768065034122843,0.1346259862184524,-0.00015054195102370826,0.00025824385042180764,True
7,switzerland,conservative_candidate,0.7195652173913043,,,0.1680119719905774,0.7195652173913043,0.1697152107954025,0.0,0.0017032388048250913,False
7,va_long_beach,conservative_candidate,0.7306882484537439,,,0.1819881060717259,0.7312146335044085,0.1824769079685211,-0.0005263850506646017,0.0004888018967951768,True
8,hungary,conservative_candidate,0.8756523484544358,,,0.1395454248449699,0.875451625853071,0.1397059708833694,0.00020072260136483333,0.00016054603839948944,False
8,switzerland,conservative_candidate,0.7608695652173914,,,0.1509436511813137,0.7597826086956522,0.1533569693565368,0.0010869565217391797,0.0024133181752231114,False
8,va_long_beach,conservative_candidate,0.7285827082510856,,,0.1758061825104148,0.7285827082510857,0.1763540208339691,-1.1102230246251565e-16,0.0005478383235542894,False
9,hungary,conservative_candidate,0.8843336009634686,,,0.1302794574244586,0.884684865515857,0.1303787678480148,-0.0003512645523884306,9.931042355620923e-05,True
9,switzerland,conservative_candidate,0.7445652173913043,,,0.1612426323424215,0.7456521739130435,0.1642075330018997,-0.0010869565217391797,0.002964900659478187,True
9,va_long_beach,conservative_candidate,0.7397683905777076,,,0.1776119959013241,0.7402947756283722,0.1781714260578155,-0.0005263850506646017,0.0005594301564914028,True
