source,target,seed,fold,adapt_n,test_n,target_n,mean_classifier_discrepancy,centroid_distance,positive_rate_before,positive_rate_after,entropy_before,entropy_after,probability_drift,mean_dlar_confident_fraction,mean_pseudo_positive_fraction,mean_dlar_loss,mean_lcl_loss,mean_common_neighbors,mean_lcl_pair_count
cleveland,switzerland,3,3,98,25,98,0.035166967660188675,1.1003373861312866,0.6836734414100647,0.6734693646430969,0.5349093079566956,0.5282050967216492,0.005960576236248016,0.3040816307067871,0.5612244606018066,0.37304105162620543,0.8678206086158753,1.9561224489795923,191.7
cleveland,switzerland,3,4,99,24,99,0.03620700165629387,1.2648663520812988,0.6767676472663879,0.6767676472663879,0.5173488855361938,0.511195957660675,0.005915965884923935,0.3171717166900635,0.5494949698448182,0.36504660844802855,0.8508916914463043,2.06060606060606,204.0
cleveland,switzerland,3,5,99,24,99,0.03619431331753731,1.3008391857147217,0.6969696879386902,0.6868686676025391,0.5056754350662231,0.4984292685985565,0.005945859011262655,0.34545454382896423,0.5858585834503174,0.34577341079711915,0.9880923688411712,2.3464646464646464,232.3
cleveland,va_long_beach,3,1,160,40,160,0.026684636250138283,1.4325225353240967,0.6500000357627869,0.6500000357627869,0.5008991360664368,0.4931775629520416,0.005936939734965563,0.34375000596046446,0.5625,0.3269904971122742,0.9702305555343628,2.313125,370.1
cleveland,va_long_beach,3,2,160,40,160,0.02720312587916851,1.312196969985962,0.675000011920929,0.675000011920929,0.5071547627449036,0.5009030699729919,0.005353288259357214,0.3337500035762787,0.5625,0.3531572461128235,0.9153683364391327,2.119375,339.1
cleveland,va_long_beach,3,3,160,40,160,0.026903999969363213,1.3199533224105835,0.6875,0.6875,0.505221962928772,0.4991554319858551,0.005514264106750488,0.3275000035762787,0.5562500357627869,0.35950688123703,0.8073826253414154,1.9537499999999999,312.6
cleveland,va_long_beach,3,4,160,40,160,0.025715479627251625,1.3781113624572754,0.6812500357627869,0.6812500357627869,0.49961480498313904,0.49335384368896484,0.005379611160606146,0.34625000357627866,0.5625,0.3477639198303223,0.8830840885639191,2.075,332.0
cleveland,va_long_beach,3,5,160,40,160,0.02547501027584076,1.4034035205841064,0.6312500238418579,0.6312500238418579,0.5071788430213928,0.5003442168235779,0.005824057850986719,0.325,0.543749988079071,0.3384538173675537,0.9038873314857483,2.1399999999999997,342.4
cleveland,hungary,4,1,235,59,235,0.03330082446336746,1.2322688102722168,0.32765957713127136,0.32765957713127136,0.5368087887763977,0.5293737649917603,0.0057873050682246685,0.0706382930278778,0.3234042525291443,0.331811797618866,0.5474728167057037,1.4191489361702128,333.5
cleveland,hungary,4,2,235,59,235,0.03483063727617264,1.3546251058578491,0.36595743894577026,0.36595743894577026,0.5263875126838684,0.5183465480804443,0.006171199958771467,0.09787233769893647,0.35319146513938904,0.32325939536094667,0.5807600259780884,1.5161702127659575,356.3
cleveland,hungary,4,3,235,59,235,0.03233490511775017,1.2906761169433594,0.3191489279270172,0.3191489279270172,0.5329059362411499,0.5253098011016846,0.005828922148793936,0.07404255047440529,0.31489360332489014,0.3290814936161041,0.5714363634586335,1.495744680851064,351.5
