architecture,source,target,seed,method,n,prevalence,roc_auc,average_precision,brier,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability
dual_head,hungary,switzerland,5,dlar_lcl,123,0.9349593495934959,0.7434782608695653,0.9765810873458984,0.23815562860503547,0.3970791685387371,0.5853658536585366,0.6619565217391304,0.5739130434782609,0.75,0.5528455284552846,0.5378801810547589
dual_head,hungary,switzerland,6,dual_head_source_only,123,0.9349593495934959,0.7554347826086956,0.9786464649530635,0.2939839550530339,0.47572445857331036,0.5203252032520326,0.6853260869565218,0.4956521739130435,0.875,0.4715447154471545,0.46047984669363595
dual_head,hungary,switzerland,6,dlar_lcl,123,0.9349593495934959,0.7565217391304347,0.9788355008698877,0.29468847724756947,0.47533827311382065,0.5203252032520326,0.6853260869565218,0.4956521739130435,0.875,0.4715447154471545,0.46079611021086453
dual_head,hungary,switzerland,7,dual_head_source_only,123,0.9349593495934959,0.708695652173913,0.9714457738346449,0.2716257878838254,0.431727950650502,0.5284552845528455,0.6315217391304349,0.5130434782608696,0.75,0.4959349593495935,0.504642002223953
dual_head,hungary,switzerland,7,dlar_lcl,123,0.9349593495934959,0.7119565217391305,0.9724158621111293,0.2751478789787195,0.43344511182569867,0.5284552845528455,0.6315217391304349,0.5130434782608696,0.75,0.4959349593495935,0.5028332543930387
dual_head,hungary,switzerland,8,dual_head_source_only,123,0.9349593495934959,0.7380434782608696,0.9749845278614311,0.23285528963051735,0.3829094555562105,0.6178861788617886,0.621195652173913,0.6173913043478261,0.625,0.6016260162601627,0.5520498940372854
dual_head,hungary,switzerland,8,dlar_lcl,123,0.9349593495934959,0.7380434782608696,0.9751171653913289,0.23502926010766712,0.3821560601151087,0.6178861788617886,0.621195652173913,0.6173913043478261,0.625,0.6016260162601627,0.5528032894783873
dual_head,hungary,switzerland,9,dual_head_source_only,123,0.9349593495934959,0.7271739130434783,0.9724019186757826,0.24797847930702807,0.39827873430600985,0.5934959349593496,0.6081521739130435,0.591304347826087,0.625,0.5772357723577236,0.5366806152874861
dual_head,hungary,switzerland,9,dlar_lcl,123,0.9349593495934959,0.7260869565217392,0.9722572541659323,0.24795023185572618,0.3968125037788376,0.5934959349593496,0.6081521739130435,0.591304347826087,0.625,0.5772357723577236,0.5397302187312909
dual_head,hungary,va_long_beach,0,dual_head_source_only,200,0.745,0.739242005527043,0.8881526296672928,0.22016167537646783,0.21362483952194455,0.665,0.6784445321752862,0.6510067114093959,0.7058823529411765,0.56,0.5321283872053028
dual_head,hungary,va_long_beach,0,dlar_lcl,200,0.745,0.7398999868403737,0.8882553530452382,0.22311374088411043,0.21692030612379312,0.655,0.6717331227793131,0.6375838926174496,0.7058823529411765,0.55,0.5287804873660207
dual_head,hungary,va_long_beach,1,dual_head_source_only,200,0.745,0.726082379260429,0.882735001120097,0.22995674559680546,0.23366156257689,0.66,0.6815370443479405,0.6375838926174496,0.7254901960784313,0.545,0.5122185292094946
