architecture,source,target,seed,method,n,prevalence,roc_auc_recomputed,average_precision,brier_recomputed,ece10,accuracy,balanced_accuracy,sensitivity,specificity,predicted_positive_rate,mean_probability,roc_auc_frozen,brier_frozen,source_roc_auc,source_brier,adapted_auc_diff,adapted_brier_diff
single_head,hungary,switzerland,6,reliability_gated_sfda,123,0.9349593495934959,0.7391304347826086,0.971334309480526,0.2341622916304731,0.363658342086445,0.6016260162601627,0.6125,0.6,0.625,0.5853658536585366,0.5713010075070509,0.7391304347826086,0.2341622916304731,0.7391304347826086,0.2306745052337646,0.0,0.0
single_head,hungary,switzerland,6,conservative_candidate,123,0.9349593495934959,0.7369565217391305,0.9712614698971005,0.22816542532532733,0.3590673826998326,0.6016260162601627,0.6125,0.6,0.625,0.5853658536585366,0.5758919668936633,0.7369565217391305,0.2281654253253273,0.7391304347826086,0.2306745052337646,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,7,pseudo_label_sfda,123,0.9349593495934959,0.7369565217391305,0.9723000552061944,0.22443809172711277,0.3411739338340798,0.6585365853658537,0.6429347826086956,0.6608695652173913,0.625,0.6422764227642277,0.5937854157594161,0.7369565217391305,0.2244380917271127,0.7445652173913044,0.2237391918897628,0.0,5.551115123125783e-17
single_head,hungary,switzerland,7,entropy_sfda,123,0.9349593495934959,0.7391304347826086,0.9728321690832304,0.2219677536443365,0.3329880418089347,0.6666666666666666,0.6472826086956522,0.6695652173913044,0.625,0.6504065040650406,0.6019713077845612,0.7391304347826086,0.2219677536443364,0.7445652173913044,0.2237391918897628,0.0,8.326672684688674e-17
single_head,hungary,switzerland,7,reliability_gated_sfda,123,0.9349593495934959,0.7456521739130435,0.9737202163052366,0.2284745960620358,0.3495279666248377,0.6422764227642277,0.6342391304347825,0.6434782608695652,0.625,0.6260162601626016,0.5854313829686584,0.7456521739130435,0.2284745960620357,0.7445652173913044,0.2237391918897628,0.0,8.326672684688674e-17
single_head,hungary,switzerland,7,conservative_candidate,123,0.9349593495934959,0.7445652173913044,0.9736350702573577,0.22088111574179714,0.3427459500669464,0.6666666666666666,0.6472826086956522,0.6695652173913044,0.625,0.6504065040650406,0.5922133995265495,0.7445652173913044,0.2208811157417971,0.7445652173913044,0.2237391918897628,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,8,pseudo_label_sfda,123,0.9349593495934959,0.758695652173913,0.9750770726261628,0.2505086450538462,0.3781325526050921,0.5853658536585366,0.6038043478260869,0.5826086956521739,0.625,0.5691056910569106,0.5568267969884039,0.758695652173913,0.2505086450538462,0.7619565217391304,0.2473688423633575,0.0,0.0
single_head,hungary,switzerland,8,entropy_sfda,123,0.9349593495934959,0.758695652173913,0.9750336420984941,0.24696975215625377,0.3691357367831033,0.6016260162601627,0.6125,0.6,0.625,0.5853658536585366,0.5658236128103927,0.758695652173913,0.2469697521562537,0.7619565217391304,0.2473688423633575,0.0,8.326672684688674e-17
single_head,hungary,switzerland,8,reliability_gated_sfda,123,0.9349593495934959,0.7576086956521739,0.9744947470996452,0.2514803962942669,0.381415320454332,0.5853658536585366,0.6038043478260869,0.5826086956521739,0.625,0.5691056910569106,0.553544029139164,0.7576086956521739,0.2514803962942669,0.7619565217391304,0.2473688423633575,0.0,0.0
single_head,hungary,switzerland,8,conservative_candidate,123,0.9349593495934959,0.7597826086956522,0.9747430330799516,0.24508450080577082,0.3762029491486104,0.5934959349593496,0.6081521739130435,0.591304347826087,0.625,0.5772357723577236,0.5587564004448856,0.7597826086956522,0.2450845008057708,0.7619565217391304,0.2473688423633575,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,9,pseudo_label_sfda,123,0.9349593495934959,0.732608695652174,0.9704276341863466,0.23837143624358728,0.3505597025822333,0.6178861788617886,0.621195652173913,0.6173913043478261,0.625,0.6016260162601627,0.5843996470112626,0.732608695652174,0.2383714362435872,0.7336956521739131,0.2409280687570572,0.0,8.326672684688674e-17
single_head,hungary,switzerland,9,entropy_sfda,123,0.9349593495934959,0.7391304347826086,0.9710768595497306,0.23851681887179543,0.34769221967676794,0.6097560975609756,0.6168478260869565,0.6086956521739131,0.625,0.5934959349593496,0.587267129916728,0.7391304347826086,0.2385168188717954,0.7336956521739131,0.2409280687570572,0.0,2.7755575615628914e-17
single_head,hungary,switzerland,9,reliability_gated_sfda,123,0.9349593495934959,0.7336956521739131,0.9709960132933619,0.24648074657897587,0.36477278799908913,0.5853658536585366,0.6038043478260869,0.5826086956521739,0.625,0.5691056910569106,0.5701865615944067,0.7336956521739131,0.2464807465789758,0.7336956521739131,0.2409280687570572,0.0,5.551115123125783e-17
single_head,hungary,switzerland,9,conservative_candidate,123,0.9349593495934959,0.7336956521739131,0.9709960132933619,0.23942080530262982,0.3583777491457578,0.6097560975609756,0.6168478260869565,0.6086956521739131,0.625,0.5934959349593496,0.5765816004477381,0.7336956521739131,0.2394208053026298,0.7336956521739131,0.2409280687570572,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,0,pseudo_label_sfda,200,0.745,0.7475325700750098,0.8909904580291137,0.22594040290215978,0.1995310099422932,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5755661903321743,0.7475325700750098,0.2259404029021597,0.7477957626003421,0.2298662811517715,0.0,8.326672684688674e-17
single_head,hungary,va_long_beach,0,entropy_sfda,200,0.745,0.746742992499013,0.8911484942175117,0.24207235190562565,0.22228637751191854,0.65,0.6812738518226082,0.6174496644295302,0.7450980392156863,0.525,0.5526452321186661,0.746742992499013,0.2420723519056256,0.7477957626003421,0.2298662811517715,0.0,5.551115123125783e-17
single_head,hungary,va_long_beach,0,reliability_gated_sfda,200,0.745,0.7477957626003421,0.8910556778921785,0.23258033972111933,0.22487932451069356,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5514262532442809,0.7477957626003421,0.2325803397211193,0.7477957626003421,0.2298662811517715,0.0,2.7755575615628914e-17
single_head,hungary,va_long_beach,0,conservative_candidate,200,0.745,0.7466113962363469,0.8903364226254897,0.23006486808824567,0.21237332148477434,0.655,0.6846295565205949,0.6241610738255033,0.7450980392156863,0.53,0.5536990006454289,0.7466113962363469,0.2300648680882456,0.7477957626003421,0.2298662811517715,0.0,5.551115123125783e-17
