architecture,source,target,direction,seed,method,method_label,n,prevalence,accuracy,balanced_accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece10,predicted_positive_rate,mean_probability,tn,fp,fn,tp
dual_head,cleveland,switzerland,Cleveland -> Switzerland,7,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7235772357723578,0.6195652173913043,0.9550561797752809,0.7391304347826086,0.5,0.8333333333333334,0.13185430238045798,0.7304347826086957,0.9765643038014534,0.1856862896665868,0.3185720060899006,0.7235772357723578,0.6179670444348964,4,4,30,85
dual_head,cleveland,switzerland,Cleveland -> Switzerland,7,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7154471544715447,0.6152173913043478,0.9545454545454546,0.7304347826086957,0.5,0.8275862068965517,0.12594084097826574,0.7282608695652174,0.9764294124116295,0.18874363004965156,0.32000017832449784,0.7154471544715447,0.6164299272667102,4,4,31,84
dual_head,cleveland,switzerland,Cleveland -> Switzerland,8,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7642276422764228,0.6413043478260869,0.9574468085106383,0.782608695652174,0.5,0.861244019138756,0.16417858509099698,0.7521739130434784,0.9786656227497915,0.15886492365438443,0.26587708161129214,0.7642276422764228,0.6697928917601825,4,4,25,90
dual_head,cleveland,switzerland,Cleveland -> Switzerland,8,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7642276422764228,0.6413043478260869,0.9574468085106383,0.782608695652174,0.5,0.861244019138756,0.16417858509099698,0.7510869565217391,0.9785493816499837,0.16079245689431898,0.2649310667946087,0.7642276422764228,0.6706705765147519,4,4,25,90
dual_head,cleveland,switzerland,Cleveland -> Switzerland,9,dual_head_source_only,Dual-head source-only,123,0.9349593495934959,0.7317073170731707,0.6820652173913043,0.9659090909090909,0.7391304347826086,0.625,0.8374384236453202,0.19901029116848595,0.75,0.9787596983997977,0.16654895428337826,0.28228733343322104,0.7154471544715447,0.6526720161602749,5,3,30,85
dual_head,cleveland,switzerland,Cleveland -> Switzerland,9,dlar_lcl,DLAR-LCL,123,0.9349593495934959,0.7317073170731707,0.6820652173913043,0.9659090909090909,0.7391304347826086,0.625,0.8374384236453202,0.19901029116848595,0.7478260869565218,0.9784881959971934,0.16757503631830076,0.2804936703627672,0.7154471544715447,0.6544656792307287,5,3,30,85
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,0,dual_head_source_only,Dual-head source-only,200,0.745,0.76,0.6777207527306224,0.8344370860927153,0.8456375838926175,0.5098039215686274,0.84,0.36021338644606976,0.7218712988551124,0.8708744874512337,0.18398231596959597,0.11601466193795203,0.755,0.6410935670137405,26,25,23,126
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,0,dlar_lcl,DLAR-LCL,200,0.745,0.745,0.6676536386366627,0.831081081081081,0.825503355704698,0.5098039215686274,0.8282828282828283,0.33318747853724395,0.722266087643111,0.8703260164091657,0.18528362645296192,0.1133367758244276,0.74,0.639598207846284,26,25,26,123
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,1,dual_head_source_only,Dual-head source-only,200,0.745,0.73,0.6253454401894987,0.8064516129032258,0.8389261744966443,0.4117647058823529,0.8223684210526315,0.26166440711906813,0.7205553362284511,0.8814405236765197,0.18230926260217317,0.11316960707306861,0.775,0.6318303929269313,21,30,24,125
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,1,dlar_lcl,DLAR-LCL,200,0.745,0.735,0.6351493617581261,0.8116883116883117,0.8389261744966443,0.43137254901960786,0.8250825082508251,0.27995159148933474,0.7210817212791157,0.8815784231010186,0.18324603294643232,0.11535511620342731,0.77,0.6298069828003645,22,29,24,125
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,2,dual_head_source_only,Dual-head source-only,200,0.745,0.735,0.6480457954994079,0.82,0.825503355704698,0.47058823529411764,0.822742474916388,0.2980393888392014,0.733451769969733,0.8862829941860186,0.17628585544485048,0.09625353977084161,0.75,0.6580917590856552,24,27,26,123
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,2,dlar_lcl,DLAR-LCL,200,0.745,0.725,0.6477826029740755,0.821917808219178,0.8053691275167785,0.49019607843137253,0.8135593220338984,0.2901738165395314,0.7342413475457298,0.8864768839309249,0.17754678589571468,0.09943700514733786,0.73,0.6550409174710512,25,26,29,120
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,3,dual_head_source_only,Dual-head source-only,200,0.745,0.68,0.6304776944334781,0.8195488721804511,0.7315436241610739,0.5294117647058824,0.7730496453900709,0.2409801498572069,0.7159494670351362,0.8801461234005016,0.18697998461052823,0.09840459510684013,0.665,0.6575547309219837,27,24,40,109
dual_head,cleveland,va_long_beach,Cleveland -> VA Long Beach,3,dlar_lcl,DLAR-LCL,200,0.745,0.68,0.6304776944334781,0.8195488721804511,0.7315436241610739,0.5294117647058824,0.7730496453900709,0.2409801498572069,0.716739044611133,0.8806847070099992,0.1879748279751147,0.1038511863350868,0.665,0.6575392286479473,27,24,40,109
